"station.name","RMSE","MAPE"
"South Mountain Park",11.0801300806842,0.215742995841059
"Durango Complex",11.7443976065537,0.262294715564994
"Phoenix Greenway",13.5058816964631,0.583711265442433
"GateWay Community College",13.9370593960281,0.459884120311217
"KC7FQC Phoenix",14.4857195350327,0.543471615976602
"Pima Rd. @ Jomax Rd.",15.0456417421645,0.858334329702075
"Phoenix, Phoenix Sky Harbor International Airport",16.6937692623752,0.704121096264484
"Phoenix Encanto",16.8076002858199,0.423121258068211
"CW2674 Youngtown",17.529873351039,0.496359105366049
"CW1840 Glendale",18.7406918552554,0.330875571583998
"Scottsdale Airport",19.0062459957733,0.668394599450662
"ACDC @ 67th Ave.",19.1164031168039,0.747166279746495
"Desert Ridge",20.5719103358861,0.571981090097856
"Luke Air Force Base / Phoenix",NA,NA
