"run.n","nodal.spacing","i.top.temp","i.bot.temp","time.step","SVF","layer.profile","end.day","n.days","run.time","RMSE","CFL_fail","broke.t","ref","depth","batch.name","batch.id","albedo","emissivity","pave.name","valid.site","station.name","station.dist.km","pave.length","season","L1.layer","L1.thickness","L1.k","L1.rho","L1.c","L1.albedo","L1.emissivity","L1.R.c.top","pave.thick","mean.k","mean.c","mean.rho","L2.layer","L2.thickness","L2.k","L2.rho","L2.c","L2.albedo","L2.emissivity","L2.R.c.top","L3.layer","L3.thickness","L3.k","L3.rho","L3.c","L3.albedo","L3.emissivity","L3.R.c.top","min.T_0.5m","avg.T_0.5m","max.T_0.5m","min.T_1.0m","avg.T_1.0m","max.T_1.0m","date.time.obs","date.time.mod","dif.sec","Modeled","Observed","error","p.err","air.temp.c","daytime","day.sea"
48,10,33.5,33.5,30,0.95,3,2008-11-19,3,32.6,1.34042410231927,0,NA,3,1.5,"Asphalt Pavements","A",0.25,0.95,"Asphalt #5","A6","Luke Air Force Base / Phoenix",11.5106311974919,320,"Fall","surface",0.2,1.2,2200,850,0.25,0.95,0,0.5,2.7,4600,1650,"base",0.3,1.5,2400,800,NA,NA,0,"subgrade",1,1,1500,1100,NA,NA,0,33.4650774410396,33.5477440904438,33.7352392923328,32.8444560118631,34.06189894684,35.2078226548223,2008-11-19 11:21:37,2008-11-19 11:21:30,7.82999992370605,53.6423886567287,NA,NA,NA,24.2833333333333,"Day","Fall Day"
1,10,33.5,33.5,30,0.95,1,2012-02-09,3,35.54,0,0,NA,1,1.5,"Concrete Pavements","C",0.25,0.9,"Portland Cement Concrete #3","C4","Phoenix, Phoenix Sky Harbor International Airport",1.34720796970935,275,"Winter","surface",0.1,2.2,2400,1050,0.25,0.9,0,0.2,5.2,4800,1850,"base",0.1,3,2400,800,NA,NA,0,"subgrade",1.3,1.8,2000,1900,NA,NA,0,33.4874555574554,33.5385887711452,33.7090317540092,33.1656051175565,34.2200942453175,35.4659292370741,2012-02-09 11:15:01,2012-02-09 11:15:00,1.10899996757507,48.649926038353,38.5499992370605,10.0999268012924,0.261995512352248,19.22,"Day","Winter Day"
2,10,33.5,33.5,30,0.95,2,2012-02-09,3,38.33,0,0,NA,2,1.5,"Concrete Pavements","C",0.325,0.93,"Portland Cement Concrete #4","C4","Phoenix, Phoenix Sky Harbor International Airport",1.34720796970935,275,"Winter","surface",0.2,1.7,2250,945,0.325,0.93,0,0.4,3.95,4650,1745,"base",0.2,2.25,2400,800,NA,NA,0,"subgrade",1.1,1.4,1850,1500,NA,NA,0,33.4716187219227,33.5262663655208,33.6694756776223,32.856805419927,34.0155886598802,35.2873465075024,2012-02-09 11:15:01,2012-02-09 11:15:00,1.10899996757507,47.4196273499741,38.5499992370605,8.86962811291357,0.230081148857369,19.22,"Day","Winter Day"
3,10,33.5,33.5,30,0.95,3,2012-02-09,3,38.45,0,0,NA,3,1.5,"Concrete Pavements","C",0.4,0.96,"Portland Cement Concrete #5","C4","Phoenix, Phoenix Sky Harbor International Airport",1.34720796970935,275,"Winter","surface",0.3,1.2,2100,840,0.4,0.96,0,0.5,2.7,4500,1640,"base",0.2,1.5,2400,800,NA,NA,0,"subgrade",1,1,1500,1100,NA,NA,0,33.4490012702363,33.4742549025303,33.5,32.7523014293095,33.4413850310251,34.089284735499,2012-02-09 11:15:01,2012-02-09 11:15:00,1.10899996757507,46.2217446757188,38.5499992370605,7.67174543865826,0.199007667716967,19.22,"Day","Winter Day"
4,10,33.5,33.5,30,0.95,1,2014-02-19,3,38.01,0.897249904306908,0,NA,1,1.5,"Concrete Pavements","C",0.25,0.9,"Portland Cement Concrete #3","C4","Phoenix, Phoenix Sky Harbor International Airport",1.34720796970935,275,"Winter","surface",0.1,2.2,2400,1050,0.25,0.9,0,0.2,5.2,4800,1850,"base",0.1,3,2400,800,NA,NA,0,"subgrade",1.3,1.8,2000,1900,NA,NA,0,33.4914446005,33.5705970541967,33.8377495418084,33.2278247651006,34.6614243655598,36.4033255094585,2014-02-19 22:35:14,2014-02-19 22:35:00,14.8699998855591,36.3869656904863,18.0499992370605,18.3369664534258,1.01589846141245,19.0333333333333,"Night","Winter Night"
5,10,33.5,33.5,30,0.95,2,2014-02-19,3,37.23,0.706231150118629,0,NA,2,1.5,"Concrete Pavements","C",0.325,0.93,"Portland Cement Concrete #4","C4","Phoenix, Phoenix Sky Harbor International Airport",1.34720796970935,275,"Winter","surface",0.2,1.7,2250,945,0.325,0.93,0,0.4,3.95,4650,1745,"base",0.2,2.25,2400,800,NA,NA,0,"subgrade",1.1,1.4,1850,1500,NA,NA,0,33.4803636521043,33.5810263729669,33.8698612438748,32.9682561915205,34.6407418303956,36.4956041505066,2014-02-19 22:35:14,2014-02-19 22:35:00,14.8699998855591,33.4159226180861,18.0499992370605,15.3659233810255,0.851297730222391,19.0333333333333,"Night","Winter Night"
6,10,33.5,33.5,30,0.95,3,2014-02-19,3,37.56,0.392578621995562,0,NA,3,1.5,"Concrete Pavements","C",0.4,0.96,"Portland Cement Concrete #5","C4","Phoenix, Phoenix Sky Harbor International Airport",1.34720796970935,275,"Winter","surface",0.3,1.2,2100,840,0.4,0.96,0,0.5,2.7,4500,1640,"base",0.2,1.5,2400,800,NA,NA,0,"subgrade",1,1,1500,1100,NA,NA,0,33.4642380750836,33.5446677483952,33.7418330708412,32.8736101657564,34.0877576490103,35.2875011109898,2014-02-19 22:35:14,2014-02-19 22:35:00,14.8699998855591,29.5649564839285,18.0499992370605,11.5149572468679,0.637947796874431,19.0333333333333,"Night","Winter Night"
7,10,33.5,33.5,30,0.95,1,2007-02-27,3,36.99,0.771230961356101,0,NA,1,1.5,"Concrete Pavements","C",0.25,0.9,"Portland Cement Concrete #3","C4","Phoenix, Phoenix Sky Harbor International Airport",1.34720796970935,275,"Winter","surface",0.1,2.2,2400,1050,0.25,0.9,0,0.2,5.2,4800,1850,"base",0.1,3,2400,800,NA,NA,0,"subgrade",1.3,1.8,2000,1900,NA,NA,0,33.4873034713353,33.5443079331992,33.7349634396143,33.1541276136892,34.3192916336984,35.7806790131594,2007-02-27 11:15:37,2007-02-27 11:15:30,7.75300002098083,50.7176268037088,32.9500007629395,17.7676260407694,0.539229912879198,19.2025,"Day","Winter Day"
8,10,33.5,33.5,30,0.95,2,2007-02-27,3,37.93,0.564897759811941,0,NA,2,1.5,"Concrete Pavements","C",0.325,0.93,"Portland Cement Concrete #4","C4","Phoenix, Phoenix Sky Harbor International Airport",1.34720796970935,275,"Winter","surface",0.2,1.7,2250,945,0.325,0.93,0,0.4,3.95,4650,1745,"base",0.2,2.25,2400,800,NA,NA,0,"subgrade",1.1,1.4,1850,1500,NA,NA,0,33.4679100549869,33.5263833752405,33.6816947320197,32.7910406883233,34.0732582590545,35.6131303283514,2007-02-27 11:15:37,2007-02-27 11:15:30,7.75300002098083,49.4059683040065,32.9500007629395,16.455967541067,0.499422372080061,19.2025,"Day","Winter Day"
9,10,33.5,33.5,30,0.95,3,2007-02-27,3,37.17,0.303954996069712,0,NA,3,1.5,"Concrete Pavements","C",0.4,0.96,"Portland Cement Concrete #5","C4","Phoenix, Phoenix Sky Harbor International Airport",1.34720796970935,275,"Winter","surface",0.3,1.2,2100,840,0.4,0.96,0,0.5,2.7,4500,1640,"base",0.2,1.5,2400,800,NA,NA,0,"subgrade",1,1,1500,1100,NA,NA,0,33.4398384861832,33.4694419030795,33.5,32.6871122556004,33.445088648972,34.233342354141,2007-02-27 11:15:37,2007-02-27 11:15:30,7.75300002098083,48.1467579700825,32.9500007629395,15.196757207143,0.461206581343561,19.2025,"Day","Winter Day"
