"","end.day","RMSE","MAPE"
"1",2007-05-02,1.23054105536095,0.0225872985893354
"2",2016-07-13,1.91003928069465,0.0273324484493554
"3",2014-08-30,2.51431040602063,0.0554648879849433
"4",2008-11-19,2.84512766316617,0.0940905777895581
"5",2007-06-26,3.78919244849632,0.0640347041296801
"6",2014-07-29,3.8948877417337,0.0986157707534645
"7",2007-02-27,4.39945540960281,0.144058581774201
"8",2010-11-02,4.60606154505908,0.0968475213996267
"9",2015-07-27,4.71453641541134,0.0695401759744273
"10",2014-10-01,4.81222603610026,0.173895952036144
"11",2014-11-02,4.95102282185375,0.275806725091561
"12",2018-06-22,5.15676079988635,0.121799211318217
"13",2014-02-19,5.43332957969724,0.264858486171339
"14",2008-04-23,6.11984667857838,0.229201799235506
"15",2013-10-30,6.23166161243678,0.339819694334941
"16",2012-02-09,6.78389217127457,0.171882616394954
"17",2012-10-22,8.09668473598155,0.228619457689949
"18",2013-11-15,8.63939595683662,0.572482509671479
