"","layer.profile","batch.name","RMSE","MAPE"
"1",3,"Concrete and Composite Concrete-Asphalt Pavements",3.80120640544811,0.131190797109043
"2",2,"Concrete and Composite Concrete-Asphalt Pavements",4.88696094812075,0.154938978565222
"3",1,"Concrete and Composite Concrete-Asphalt Pavements",6.61873159012733,0.238310042267245
