"station.name","RMSE","MAPE"
"EW0706 Phoenix",7.29219473103803,0.157893493838153
"Durango Complex",10.6666098795204,0.209443007835892
"SRP",12.1009716933366,0.221512282536809
"South Mountain Park",12.2472352874497,0.24943470301108
"GateWay Community College",13.0956931428719,0.444040324169658
"wx7wx Glendale",14.4587030856604,0.308753904291254
"Phoenix, Phoenix Sky Harbor International Airport",15.07858155448,0.634082075826792
"Phoenix Encanto",16.3361912506046,0.239039892922151
"Sheely",16.6798000043904,0.676880110587413
"EW1464 Phoenix",16.8302114885956,0.244297066177527
"KC7FQC Phoenix",19.0575621065796,0.558678208302365
"CW2674 Youngtown",19.8173747210805,0.356076832988087
"City of Glendale",21.4631276954529,0.700215232088557
