"end.day","day.sea","RMSE","MAPE"
2014-07-29,"Summer Night",4.37693368384418,0.0986724998082976
2008-11-19,"Fall Day",4.58128110000361,0.126159807205341
2018-06-22,"Summer Night",4.93025147437227,0.12507468804902
2014-08-30,"Summer Night",4.94255397435469,0.121411010585278
2010-11-02,"Fall Day",5.09256063054751,0.107279799751384
2007-05-02,"Spring Day",5.18193865454883,0.0863019849215722
2012-02-09,"Winter Day",5.27028488435244,0.133254488187093
2007-02-27,"Winter Day",6.10704315201821,0.179482517709311
2014-10-01,"Fall Night",6.2723051257774,0.239696851883164
2013-11-15,"Fall Night",6.5173891682007,0.381918731950248
2012-10-22,"Fall Day",6.52185977981546,0.164134645659341
2014-11-02,"Fall Night",6.72202819461792,0.412516927959793
2008-04-23,"Spring Night",7.22135390249085,0.292317232704109
2016-07-13,"Summer Day",7.30319179383873,0.109081065849504
2014-02-19,"Winter Night",7.54407553594856,0.454380891554351
2015-07-27,"Summer Day",7.55219582788334,0.10002511201797
