"run.n","nodal.spacing","i.top.temp","i.bot.temp","time.step","SVF","layer.profile","end.day","n.days","run.time","RMSE","CFL_fail","broke.t","ref","depth","batch.name","batch.id","albedo","emissivity","pave.name","valid.site","station.name","pave.length","season","L1.layer","L1.thickness","L1.k","L1.rho","L1.c","L1.albedo","L1.emissivity","L1.R.c.top","pave.thick","mean.k","mean.c","mean.rho","L2.layer","L2.thickness","L2.k","L2.rho","L2.c","L2.albedo","L2.emissivity","L2.R.c.top","L3.layer","L3.thickness","L3.k","L3.rho","L3.c","L3.albedo","L3.emissivity","L3.R.c.top","min.T_0.5m","avg.T_0.5m","max.T_0.5m","min.T_1.0m","avg.T_1.0m","max.T_1.0m","date.time.obs","date.time.mod","dif.sec","Modeled","Observed","error","p.err","air.temp.c","daytime","day.sea"
1,10,33.5,33.5,30,0.95,1,2012-02-09,2,20.6,0,0,NA,1,1.5,"Asphalt Pavements","A",0.1,0.95,"Asphalt Low A","A6","Mean Hour All Stations",3.14159265358979,"Winter","surface",0.14,1.2,2350,800,0.1,0.95,0,0.34,2.7,4700,1675,"base",0.2,1.5,2350,875,NA,NA,0,"subgrade",1.16,2,1850,1500,NA,NA,0,33.2493231594124,33.4319980734609,33.5,31.6883418447204,32.6537929764527,33.5,2012-02-09 11:15:01,2012-02-09 11:15:00,1.10899996757507,36.214453159313,27.3500003814697,8.86445277784327,0.324111614413327,19.5541427218615,"Day","Winter Day"
2,10,33.5,33.5,30,0.95,2,2012-02-09,2,20.56,0,0,NA,2,1.5,"Asphalt Pavements","A",0.15,0.94,"Asphalt Med A","A7","Mean Hour All Stations",3.14159265358979,"Winter","surface",0.14,1.7,2350,900,0.15,0.94,0,0.34,3.2,4700,1775,"base",0.2,1.5,2350,875,NA,NA,0,"subgrade",1.16,2,1850,1500,NA,NA,0,33.2232794821411,33.4257356428499,33.5,31.5134910332418,32.5674125641414,33.5,2012-02-09 11:15:01,2012-02-09 11:15:00,1.10899996757507,33.3026131270685,32.8499984741211,0.452614652947432,0.0137782244740132,19.5541427218615,"Day","Winter Day"
3,10,33.5,33.5,30,0.95,3,2012-02-09,2,20.33,0,0,NA,3,1.5,"Asphalt Pavements","A",0.2,0.93,"Asphalt High A","A9","Mean Hour All Stations",3.14159265358979,"Winter","surface",0.14,2.2,2350,1000,0.2,0.93,0,0.34,3.7,4700,1875,"base",0.2,1.5,2350,875,NA,NA,0,"subgrade",1.16,2,1850,1500,NA,NA,0,33.2087768307858,33.4231651567442,33.5,31.401951770008,32.5160010754076,33.5,2012-02-09 11:15:01,2012-02-09 11:15:00,1.10899996757507,31.2492224949983,36.75,5.50077750500174,0.149681020544265,19.5541427218615,"Day","Winter Day"
4,10,33.5,33.5,30,0.95,1,2014-02-19,2,20.34,1.1943135121976,0,NA,1,1.5,"Asphalt Pavements","A",0.1,0.95,"Asphalt Low A","A6","Mean Hour All Stations",3.14159265358979,"Winter","surface",0.14,1.2,2350,800,0.1,0.95,0,0.34,2.7,4700,1675,"base",0.2,1.5,2350,875,NA,NA,0,"subgrade",1.16,2,1850,1500,NA,NA,0,33.4146923756174,33.4664471459315,33.5,32.7444823233768,33.1840871150144,33.5436548297705,2014-02-19 22:35:14,2014-02-19 22:35:00,14.8699998855591,24.0112421094997,18.4500007629395,5.56124134656028,0.301422282742186,15.7357949548091,"Night","Winter Night"
5,10,33.5,33.5,30,0.95,2,2014-02-19,2,20.45,0.951002441514531,0,NA,2,1.5,"Asphalt Pavements","A",0.15,0.94,"Asphalt Med A","A7","Mean Hour All Stations",3.14159265358979,"Winter","surface",0.14,1.7,2350,900,0.15,0.94,0,0.34,3.2,4700,1775,"base",0.2,1.5,2350,875,NA,NA,0,"subgrade",1.16,2,1850,1500,NA,NA,0,33.3909598190368,33.4601100979668,33.5,32.5914503114344,33.1052127542573,33.5,2014-02-19 22:35:14,2014-02-19 22:35:00,14.8699998855591,25.3533903541201,18.3500003814697,7.00338997265033,0.381656121365671,15.7357949548091,"Night","Winter Night"
6,10,33.5,33.5,30,0.95,3,2014-02-19,2,20.42,0.793127625498901,0,NA,3,1.5,"Asphalt Pavements","A",0.2,0.93,"Asphalt High A","A9","Mean Hour All Stations",3.14159265358979,"Winter","surface",0.14,2.2,2350,1000,0.2,0.93,0,0.34,3.7,4700,1875,"base",0.2,1.5,2350,875,NA,NA,0,"subgrade",1.16,2,1850,1500,NA,NA,0,33.3743265484383,33.4570030112288,33.5,32.4710892437548,33.0479534651166,33.5,2014-02-19 22:35:14,2014-02-19 22:35:00,14.8699998855591,26.0880567171865,17.3500003814697,8.73805633571681,0.503634359861415,15.7357949548091,"Night","Winter Night"
7,10,33.5,33.5,30,0.95,1,2007-02-27,2,20.59,1.29283197280395,0,NA,1,1.5,"Asphalt Pavements","A",0.1,0.95,"Asphalt Low A","A6","Mean Hour All Stations",3.14159265358979,"Winter","surface",0.14,1.2,2350,800,0.1,0.95,0,0.34,2.7,4700,1675,"base",0.2,1.5,2350,875,NA,NA,0,"subgrade",1.16,2,1850,1500,NA,NA,0,33.3408837782097,33.4467039782766,33.5,32.3387463928667,32.9576643276159,33.5,2007-02-27 11:15:37,2007-02-27 11:15:30,7.75300002098083,39.1538515140738,30.4500007629395,8.70385075113438,0.285840740001813,17.1097866871546,"Day","Winter Day"
8,10,33.5,33.5,30,0.95,2,2007-02-27,2,20.55,0.949629160411986,0,NA,2,1.5,"Asphalt Pavements","A",0.15,0.94,"Asphalt Med A","A7","Mean Hour All Stations",3.14159265358979,"Winter","surface",0.14,1.7,2350,900,0.15,0.94,0,0.34,3.2,4700,1775,"base",0.2,1.5,2350,875,NA,NA,0,"subgrade",1.16,2,1850,1500,NA,NA,0,33.3149851159449,33.4400407874745,33.5,32.1692412663788,32.872220769206,33.5,2007-02-27 11:15:37,2007-02-27 11:15:30,7.75300002098083,35.9341705786468,34.4500007629395,1.48416981570733,0.0430818514612043,17.1097866871546,"Day","Winter Day"
9,10,33.5,33.5,30,0.95,3,2007-02-27,2,20.35,0.686938955845519,0,NA,3,1.5,"Asphalt Pavements","A",0.2,0.93,"Asphalt High A","A9","Mean Hour All Stations",3.14159265358979,"Winter","surface",0.14,2.2,2350,1000,0.2,0.93,0,0.34,3.7,4700,1875,"base",0.2,1.5,2350,875,NA,NA,0,"subgrade",1.16,2,1850,1500,NA,NA,0,33.2967594502434,33.4366929758128,33.5,32.0366731618385,32.8091573007089,33.5,2007-02-27 11:15:37,2007-02-27 11:15:30,7.75300002098083,33.6110160563332,27.5499992370605,6.06101681927265,0.22000061659237,17.1097866871546,"Day","Winter Day"
10,10,33.5,33.5,30,0.95,1,2008-04-23,2,20.53,2.54735055723732,0,NA,1,1.5,"Asphalt Pavements","A",0.1,0.95,"Asphalt Low A","A6","Mean Hour All Stations",3.14159265358979,"Spring","surface",0.14,1.2,2350,800,0.1,0.95,0,0.34,2.7,4700,1675,"base",0.2,1.5,2350,875,NA,NA,0,"subgrade",1.16,2,1850,1500,NA,NA,0,33.4613986990778,33.5075653803031,33.6153809466879,32.9517225004636,33.8950336346268,35.1362646803908,2008-04-23 22:35:11,2008-04-23 22:35:00,11.2460000514984,31.2713486584253,25.1499996185303,6.12134903989505,0.243393603687568,21.3139705882353,"Night","Spring Night"
