"layer.profile","batch.name","RMSE","MAPE"
2,"Whitetopped Asphalt Pavements",4.98550541370786,0.170145740311531
2,"Concrete Pavements",5.03139546876791,0.17227756743125
2,"Asphalt Pavements",5.21613329707841,0.163759176572662
2,"Asphalt Overlays on PCC Pavements",5.279953133698,0.164193368567539
3,"Whitetopped Asphalt Pavements",5.36835089594594,0.143685788511261
3,"Concrete Pavements",5.39944894035683,0.145074686133041
1,"Whitetopped Asphalt Pavements",5.41459049462552,0.153468172724454
1,"Concrete Pavements",5.44311251190362,0.153951764949519
3,"Asphalt Overlays on PCC Pavements",5.71217491717659,0.182367863040754
3,"Asphalt Pavements",5.78237773639811,0.184666378688186
1,"Bare Ground / Desert Soil",5.90649706616467,0.239338165190346
1,"Asphalt Pavements",6.9606668342832,0.199551108075302
1,"Asphalt Overlays on PCC Pavements",7.27001173306636,0.23359519441507
2,"Bare Ground / Desert Soil",7.4483849633962,0.297154789162967
3,"Bare Ground / Desert Soil",8.96035985483245,0.337333682339032
