"","end.day","RMSE","MAPE"
"1",2016-07-13,2.9593143757453,0.0488376389532384
"2",2012-10-22,2.97973736085595,0.0653314945748853
"3",2007-02-27,3.43787176017575,0.0967461211522493
"4",2015-07-27,3.57471708388507,0.0625396185946993
"5",2008-11-19,4.59058119904316,0.121068977811287
"6",2013-11-15,5.26143855651453,0.315628829638835
"7",2010-11-02,6.07457825229439,0.152750368810244
"8",2014-07-29,6.65075627135329,0.193784790852191
"9",2014-02-19,7.08629264567312,0.603962208985649
"10",2012-02-09,7.61043802010899,0.219657030081244
"11",2018-06-22,7.92762883244806,0.247477942988018
"12",2008-04-23,8.54548108437477,0.42909733201203
"13",2014-10-01,8.60896182540238,0.411308581604218
"14",2007-05-02,8.72657364311425,0.116694127973885
"15",2013-10-30,8.97103102046033,0.805110507500156
"16",2014-11-02,9.21433706291258,0.8025640669363
"17",2014-08-30,9.45281810805839,0.331622792304963
"18",2007-06-26,10.150492167923,0.158394782897288
