"run.n","nodal.spacing","i.top.temp","i.bot.temp","time.step","SVF","layer.profile","end.day","n.days","run.time","RMSE","CFL_fail","broke.t","ref","depth","batch.name","batch.id","albedo","emissivity","pave.name","valid.site","station.name","station.dist.km","pave.length","season","L1.layer","L1.thickness","L1.k","L1.rho","L1.c","L1.albedo","L1.emissivity","L1.R.c.top","pave.thick","mean.k","mean.c","mean.rho","L2.layer","L2.thickness","L2.k","L2.rho","L2.c","L2.albedo","L2.emissivity","L2.R.c.top","min.T_0.5m","avg.T_0.5m","max.T_0.5m","min.T_1.0m","avg.T_1.0m","max.T_1.0m","date.time.obs","date.time.mod","dif.sec","Modeled","Observed","error","p.err","air.temp.c","daytime","day.sea"
5,10,33.5,33.5,30,1,1,2014-02-19,3,32.64,1.431376531139,0,NA,1,1.5,"Asphalt Overlays on PCC Pavements","OC",0.15,0.9,"Asphalt Overlay on PCC High TI","A6","Sheely",6.28538886184103,320,"Winter","surface",0.13,2.2,2500,1400,0.15,0.9,0,0.48,7.4,7300,3200,"PCC",0.15,2.2,2400,1000,NA,NA,0,33.4813536169774,33.6430001108545,34.1346568464144,32.8945574760102,35.6137674842973,38.8334458563415,2014-02-19 22:35:14,2014-02-19 22:35:00,14.8699998855591,39.6604974071909,18.4500007629395,21.2104966442515,1.14962036678378,19.07,"Night","Winter Night"
6,10,33.5,33.5,30,0.1,1,2014-02-19,3,32.11,3.80813200579418,0,NA,1,1.5,"Asphalt Overlays on PCC Pavements","OC",0.15,0.9,"Asphalt Overlay on PCC High TI","A6","Sheely",6.28538886184103,320,"Winter","surface",0.13,2.2,2500,1400,0.15,0.9,0,0.48,7.4,7300,3200,"PCC",0.15,2.2,2400,1000,NA,NA,0,33.4970768200389,33.5178864408034,33.5870085733105,33.4141554552868,33.8001800853376,34.318016469517,2014-02-19 22:35:14,2014-02-19 22:35:00,14.8699998855591,35.1372924111507,18.4500007629395,16.6872916482113,0.904460214534574,19.07,"Night","Winter Night"
7,10,33.5,33.5,30,1,2,2014-02-19,3,32.27,0.491977831054998,0,NA,3,1.5,"Asphalt Overlays on PCC Pavements","OC",0.15,0.9,"Asphalt Overlay on PCC Low TI","A6","Sheely",6.28538886184103,320,"Winter","surface",0.13,1.2,2200,850,0.15,0.9,0,0.48,3.9,6700,2450,"PCC",0.15,1.2,2100,800,NA,NA,0,33.466947726387,33.6976755534481,34.3606487538685,32.8211380409717,35.6566028376102,38.9671432258368,2014-02-19 22:35:14,2014-02-19 22:35:00,14.8699998855591,35.9846607139171,18.4500007629395,17.5346599509776,0.950388033923529,19.07,"Night","Winter Night"
8,10,33.5,33.5,30,0.1,2,2014-02-19,3,31.97,3.53774446457887,0,NA,3,1.5,"Asphalt Overlays on PCC Pavements","OC",0.15,0.9,"Asphalt Overlay on PCC Low TI","A6","Sheely",6.28538886184103,320,"Winter","surface",0.13,1.2,2200,850,0.15,0.9,0,0.48,3.9,6700,2450,"PCC",0.15,1.2,2100,800,NA,NA,0,33.4944669895545,33.5332868151873,33.6592902956911,33.3927168560198,33.9101531436443,34.6238572067055,2014-02-19 22:35:14,2014-02-19 22:35:00,14.8699998855591,35.8625941637252,18.4500007629395,17.4125934007857,0.943771961015982,19.07,"Night","Winter Night"
9,10,33.5,33.5,30,1,1,2007-02-27,3,32.34,1.33745561205019,0,NA,1,1.5,"Asphalt Overlays on PCC Pavements","OC",0.15,0.9,"Asphalt Overlay on PCC High TI","A6","KC7FQC Phoenix",9.90081982015144,320,"Winter","surface",0.13,2.2,2500,1400,0.15,0.9,0,0.48,7.4,7300,3200,"PCC",0.15,2.2,2400,1000,NA,NA,0,33.4729187798799,33.605244203257,34.0083389052139,32.732623250344,35.2170195407015,38.3029847082747,2007-02-27 11:15:37,2007-02-27 11:15:30,7.75300002098083,53.3537446650625,30.4500007629395,22.903743902123,0.752175478760548,18.9186666666666,"Day","Winter Day"
10,10,33.5,33.5,30,0.1,1,2007-02-27,3,32.13,3.79904650055628,0,NA,1,1.5,"Asphalt Overlays on PCC Pavements","OC",0.15,0.9,"Asphalt Overlay on PCC High TI","A6","KC7FQC Phoenix",9.90081982015144,320,"Winter","surface",0.13,2.2,2500,1400,0.15,0.9,0,0.48,7.4,7300,3200,"PCC",0.15,2.2,2400,1000,NA,NA,0,33.4965729300404,33.515579866929,33.5791615319384,33.405070029109,33.7767194537829,34.2972042793102,2007-02-27 11:15:37,2007-02-27 11:15:30,7.75300002098083,36.2505867147125,30.4500007629395,5.80058595177303,0.19049542878281,18.9186666666666,"Day","Winter Day"
11,10,33.5,33.5,30,1,2,2007-02-27,3,32.27,0.543431302926387,0,NA,3,1.5,"Asphalt Overlays on PCC Pavements","OC",0.15,0.9,"Asphalt Overlay on PCC Low TI","A6","KC7FQC Phoenix",9.90081982015144,320,"Winter","surface",0.13,1.2,2200,850,0.15,0.9,0,0.48,3.9,6700,2450,"PCC",0.15,1.2,2100,800,NA,NA,0,33.4502182220359,33.636603316328,34.1690879384028,32.6072911826697,35.1820279138708,38.2984922636589,2007-02-27 11:15:37,2007-02-27 11:15:30,7.75300002098083,63.6161663155032,30.4500007629395,33.1661655525638,1.0892008118742,18.9186666666666,"Day","Winter Day"
12,10,33.5,33.5,30,0.1,2,2007-02-27,3,32.02,3.51909384985633,0,NA,3,1.5,"Asphalt Overlays on PCC Pavements","OC",0.15,0.9,"Asphalt Overlay on PCC Low TI","A6","KC7FQC Phoenix",9.90081982015144,320,"Winter","surface",0.13,1.2,2200,850,0.15,0.9,0,0.48,3.9,6700,2450,"PCC",0.15,1.2,2100,800,NA,NA,0,33.4934930739569,33.5292181542913,33.6461254201965,33.3803110136787,33.8789838843556,34.5945117838495,2007-02-27 11:15:37,2007-02-27 11:15:30,7.75300002098083,38.2280301683738,30.4500007629395,7.77802940543438,0.255436098868706,18.9186666666666,"Day","Winter Day"
13,10,33.5,33.5,30,1,1,2008-04-23,3,31.93,1.61908079221303,0,NA,1,1.5,"Asphalt Overlays on PCC Pavements","OC",0.15,0.9,"Asphalt Overlay on PCC High TI","A6","KC7FQC Phoenix",9.90081982015144,320,"Spring","surface",0.13,2.2,2500,1400,0.15,0.9,0,0.48,7.4,7300,3200,"PCC",0.15,2.2,2400,1000,NA,NA,0,33.4905046490787,33.7850600288217,34.6683156292108,33.0746063895693,37.4181075207974,42.6610380999424,2008-04-23 22:35:11,2008-04-23 22:35:00,11.2460000514984,47.2808801906705,25.1499996185303,22.1308805721403,0.879955503292908,22.23,"Night","Spring Night"
14,10,33.5,33.5,30,0.1,1,2008-04-23,3,32.1,3.66744823342077,0,NA,1,1.5,"Asphalt Overlays on PCC Pavements","OC",0.15,0.9,"Asphalt Overlay on PCC High TI","A6","KC7FQC Phoenix",9.90081982015144,320,"Spring","surface",0.13,2.2,2500,1400,0.15,0.9,0,0.48,7.4,7300,3200,"PCC",0.15,2.2,2400,1000,NA,NA,0,33.498792540962,33.5421434463884,33.6841880300345,33.4471350818426,34.1385687926194,35.1083187372279,2008-04-23 22:35:11,2008-04-23 22:35:00,11.2460000514984,37.2038335699446,25.1499996185303,12.0538339514143,0.479277699174722,22.23,"Night","Spring Night"
15,10,33.5,33.5,30,1,2,2008-04-23,3,32.2,1.94127939304634,0,NA,3,1.5,"Asphalt Overlays on PCC Pavements","OC",0.15,0.9,"Asphalt Overlay on PCC Low TI","A6","KC7FQC Phoenix",9.90081982015144,320,"Spring","surface",0.13,1.2,2200,850,0.15,0.9,0,0.48,3.9,6700,2450,"PCC",0.15,1.2,2100,800,NA,NA,0,33.4826940107454,33.9034128076283,35.1040414763132,33.030691254677,37.578682173269,43.0912532043824,2008-04-23 22:35:11,2008-04-23 22:35:00,11.2460000514984,43.5646098971653,25.1499996185303,18.4146102786351,0.732191274669736,22.23,"Night","Spring Night"
16,10,33.5,33.5,30,0.1,2,2008-04-23,3,32.15,3.32148752132233,0,NA,3,1.5,"Asphalt Overlays on PCC Pavements","OC",0.15,0.9,"Asphalt Overlay on PCC Low TI","A6","KC7FQC Phoenix",9.90081982015144,320,"Spring","surface",0.13,1.2,2200,850,0.15,0.9,0,0.48,3.9,6700,2450,"PCC",0.15,1.2,2100,800,NA,NA,0,33.497687322967,33.5785096752913,33.8382674135202,33.4362299724921,34.3824349495099,35.7687880227881,2008-04-23 22:35:11,2008-04-23 22:35:00,11.2460000514984,39.123925637167,25.1499996185303,13.9739260186367,0.555623309367404,22.23,"Night","Spring Night"
