"end.day","day.sea","RMSE","MAPE"
2014-08-30,"Summer Night",7.98584460981084,0.166886537040658
2014-07-29,"Summer Night",9.4923975685594,0.185297622841882
2018-06-22,"Summer Night",10.3482137337168,0.219654898761813
2014-10-01,"Fall Night",11.8082154604726,0.423117278832719
2008-04-23,"Spring Night",14.5941606961276,0.549715257577627
2010-11-02,"Fall Day",15.7144702853556,0.332205164945915
2008-11-19,"Fall Day",16.1534515150599,0.498234349135872
2014-11-02,"Fall Night",16.1886559795899,0.904458349551217
2012-02-09,"Winter Day",16.6968071337075,0.449224425495131
2014-02-19,"Winter Night",16.9199601124163,0.918896191810058
2013-11-15,"Fall Night",17.0150037336538,1.08512862352035
2015-07-27,"Summer Day",17.2947058455121,0.28393859875943
2007-05-02,"Spring Day",17.5374982366296,0.31592382603339
2016-07-13,"Summer Day",18.0765245829417,0.28389768360957
2012-10-22,"Fall Day",18.9022165870055,0.435763843369288
2007-02-27,"Winter Day",19.2727673922835,0.561270430311983
