"station.name","RMSE","MAPE"
"EW0706 Phoenix",6.89188127990938,0.149770682855427
"Durango Complex",10.5257819702359,0.209940878642234
"SRP",12.3152342799761,0.219231004905291
"South Mountain Park",12.8820908494291,0.253962850938863
"GateWay Community College",13.0870363119998,0.442344965160643
"wx7wx Glendale",14.6149590034296,0.30903941495718
"Phoenix, Phoenix Sky Harbor International Airport",15.1176468382226,0.631516559509304
"Phoenix Encanto",16.1158686951939,0.240649010479789
"Sheely",16.8193658665061,0.67809073914867
"EW1464 Phoenix",16.8845893982539,0.245859567753413
"KC7FQC Phoenix",19.1686324933826,0.555696144572989
"CW2674 Youngtown",19.9682784317185,0.349535764592174
"City of Glendale",21.5462147596811,0.694921005620841
