"run.n","nodal.spacing","i.top.temp","i.bot.temp","time.step","SVF","layer.profile","end.day","n.days","run.time","RMSE","CFL_fail","broke.t","ref","depth","batch.name","batch.id","albedo","emissivity","pave.name","valid.site","station.name","pave.length","season","L1.layer","L1.thickness","L1.k","L1.rho","L1.c","L1.albedo","L1.emissivity","L1.R.c.top","pave.thick","mean.k","mean.c","mean.rho","L2.layer","L2.thickness","L2.k","L2.rho","L2.c","L2.albedo","L2.emissivity","L2.R.c.top","L3.layer","L3.thickness","L3.k","L3.rho","L3.c","L3.albedo","L3.emissivity","L3.R.c.top","min.T_0.5m","avg.T_0.5m","max.T_0.5m","min.T_1.0m","avg.T_1.0m","max.T_1.0m","date.time.obs","date.time.mod","dif.sec","Modeled","Observed","error","p.err","air.temp.c","daytime","day.sea"
94,10,33.5,33.5,30,0.1,2,2008-11-19,5,88.78,3.12283976056349,0,NA,3,1.5,"Asphalt Overlays on PCC Pavements","OC",0.15,0.9,"Asphalt Overlay on PCC 125+150mm","A7","Mean Hour All Stations",3.14159265358979,"Fall","surface",0.13,1.7,2350,900,0.15,0.9,0,0.48,4.7,7000,2600,"PCC",0.15,1.5,2250,900,NA,NA,0,"base",0.2,1.5,2400,800,NA,NA,0,33.0626660036879,33.3352890439398,33.5,32.3433681559287,32.8469218006324,33.5,2008-11-19 11:21:37,2008-11-19 11:21:30,7.82999992370605,32.5082068267208,33.75,1.24179317327923,0.0367938718008662,25.007715678255,"Day","Fall Day"
95,10,33.5,33.5,30,1,3,2008-11-19,5,89.14,0.55906735765302,0,NA,5,1.5,"Asphalt Overlays on PCC Pavements","OC",0.15,0.9,"Asphalt Overlay on PCC 150+200mm","A9","Mean Hour All Stations",3.14159265358979,"Fall","surface",0.15,1.7,2350,900,0.15,0.9,0,0.65,4.7,7000,2600,"PCC",0.2,1.5,2250,900,NA,NA,0,"base",0.3,1.5,2400,800,NA,NA,0,33.4588183507298,33.7694289566589,34.3496759110503,32.8132578163015,34.8056336644094,36.5614911071175,2008-11-19 11:21:37,2008-11-19 11:21:30,7.82999992370605,54.9582524032978,31.5499992370605,23.4082531662373,0.741941481213746,25.007715678255,"Day","Fall Day"
96,10,33.5,33.5,30,0.1,3,2008-11-19,5,88.69,3.17283063875591,0,NA,5,1.5,"Asphalt Overlays on PCC Pavements","OC",0.15,0.9,"Asphalt Overlay on PCC 150+200mm","A9","Mean Hour All Stations",3.14159265358979,"Fall","surface",0.15,1.7,2350,900,0.15,0.9,0,0.65,4.7,7000,2600,"PCC",0.2,1.5,2250,900,NA,NA,0,"base",0.3,1.5,2400,800,NA,NA,0,33.0597529928191,33.334866991875,33.5,32.2432530400339,32.7880400788491,33.5,2008-11-19 11:21:37,2008-11-19 11:21:30,7.82999992370605,32.4707356218196,31.5499992370605,0.920736384759095,0.0291834043430829,25.007715678255,"Day","Fall Day"
1,10,33.5,33.5,30,1,1,2012-02-09,5,87.65,0,0,NA,1,1.5,"Concrete Pavements","C",0.3,0.93,"Portland Cement Concrete 100mm","C1","Mean Hour All Stations",3.14159265358979,"Winter","surface",0.2,1.5,2250,900,0.3,0.93,0,0.4,3,4650,1700,"base",0.2,1.5,2400,800,NA,NA,0,"subgrade",1.1,2,1850,1500,NA,NA,0,33.3556073076513,33.4123432386297,33.5,32.6823978668654,33.3154226068171,34.0609382307677,2012-02-09 11:15:01,2012-02-09 11:15:00,1.10899996757507,47.3417522108336,34.75,12.5917522108336,0.362352581606724,19.5541427218615,"Day","Winter Day"
2,10,33.5,33.5,30,0.1,1,2012-02-09,5,86.73,2.65639856638406,0,NA,1,1.5,"Concrete Pavements","C",0.3,0.93,"Portland Cement Concrete 100mm","C1","Mean Hour All Stations",3.14159265358979,"Winter","surface",0.2,1.5,2250,900,0.3,0.93,0,0.4,3,4650,1700,"base",0.2,1.5,2400,800,NA,NA,0,"subgrade",1.1,2,1850,1500,NA,NA,0,32.7890916979933,33.248971726447,33.5,31.6267367320312,32.4606493807673,33.5,2012-02-09 11:15:01,2012-02-09 11:15:00,1.10899996757507,30.5243326069167,34.75,4.22566739308326,0.121601939369302,19.5541427218615,"Day","Winter Day"
3,10,33.5,33.5,30,1,2,2012-02-09,5,87.31,0,0,NA,3,1.5,"Concrete Pavements","C",0.3,0.93,"Portland Cement Concrete 200mm","C4","Mean Hour All Stations",3.14159265358979,"Winter","surface",0.2,1.5,2250,900,0.3,0.93,0,0.4,3,4650,1700,"base",0.2,1.5,2400,800,NA,NA,0,"subgrade",1.1,2,1850,1500,NA,NA,0,33.3559297128773,33.4125707147995,33.5,32.6827141099884,33.3162872484048,34.0625122568038,2012-02-09 11:15:01,2012-02-09 11:15:00,1.10899996757507,47.3547263201562,38.5499992370605,8.80472708309566,0.228397594224363,19.5541427218615,"Day","Winter Day"
4,10,33.5,33.5,30,0.1,2,2012-02-09,5,86.95,2.65660599188462,0,NA,3,1.5,"Concrete Pavements","C",0.3,0.93,"Portland Cement Concrete 200mm","C4","Mean Hour All Stations",3.14159265358979,"Winter","surface",0.2,1.5,2250,900,0.3,0.93,0,0.4,3,4650,1700,"base",0.2,1.5,2400,800,NA,NA,0,"subgrade",1.1,2,1850,1500,NA,NA,0,32.7892042174737,33.2490136350848,33.5,31.627037005551,32.4608178704752,33.5,2012-02-09 11:15:01,2012-02-09 11:15:00,1.10899996757507,30.5264488066114,38.5499992370605,8.02355043044912,0.208133608021854,19.5541427218615,"Day","Winter Day"
5,10,33.5,33.5,30,1,3,2012-02-09,5,87.7,0,0,NA,5,1.5,"Concrete Pavements","C",0.3,0.93,"Portland Cement Concrete 300mm","C1","Mean Hour All Stations",3.14159265358979,"Winter","surface",0.2,1.5,2250,900,0.3,0.93,0,0.4,3,4650,1700,"base",0.2,1.5,2400,800,NA,NA,0,"subgrade",1.1,2,1850,1500,NA,NA,0,33.3556073076513,33.4123432386297,33.5,32.6823978668654,33.3154226068171,34.0609382307677,2012-02-09 11:15:01,2012-02-09 11:15:00,1.10899996757507,47.3417522108336,34.75,12.5917522108336,0.362352581606724,19.5541427218615,"Day","Winter Day"
6,10,33.5,33.5,30,0.1,3,2012-02-09,5,87.15,2.65639856638406,0,NA,5,1.5,"Concrete Pavements","C",0.3,0.93,"Portland Cement Concrete 300mm","C1","Mean Hour All Stations",3.14159265358979,"Winter","surface",0.2,1.5,2250,900,0.3,0.93,0,0.4,3,4650,1700,"base",0.2,1.5,2400,800,NA,NA,0,"subgrade",1.1,2,1850,1500,NA,NA,0,32.7890916979933,33.248971726447,33.5,31.6267367320312,32.4606493807673,33.5,2012-02-09 11:15:01,2012-02-09 11:15:00,1.10899996757507,30.5243326069167,34.75,4.22566739308326,0.121601939369302,19.5541427218615,"Day","Winter Day"
7,10,33.5,33.5,30,1,1,2014-02-19,5,88.01,0.504074640892637,0,NA,1,1.5,"Concrete Pavements","C",0.3,0.93,"Portland Cement Concrete 100mm","C1","Mean Hour All Stations",3.14159265358979,"Winter","surface",0.2,1.5,2250,900,0.3,0.93,0,0.4,3,4650,1700,"base",0.2,1.5,2400,800,NA,NA,0,"subgrade",1.1,2,1850,1500,NA,NA,0,33.4493443032881,33.6918674403581,34.1518123088788,32.8452301535128,34.4018801848568,35.7073852002898,2014-02-19 22:35:14,2014-02-19 22:35:00,14.8699998855591,29.7886863145296,18.1499996185303,11.6386866959993,0.641249969179986,15.7357949548091,"Night","Winter Night"
