"layer.profile","batch.name","RMSE","MAPE"
3,"Concrete Pavements",11.6393640640335,0.350976041493876
2,"Whitetopped Asphalt Pavements",13.5886397097069,0.463478630155963
3,"Whitetopped Asphalt Pavements",13.5944138241001,0.464384243397983
1,"Whitetopped Asphalt Pavements",13.6037756529068,0.463508918382698
2,"Concrete Pavements",13.8623774021257,0.423532619710205
1,"Concrete Pavements",16.4415480011683,0.497854145886976
3,"Asphalt Pavements",16.9452088910701,0.505492559845118
2,"Asphalt Pavements",16.9742111829958,0.5054238718815
1,"Asphalt Pavements",17.0356949303883,0.508485632152278
1,"Asphalt Overlays on PCC Pavements",17.168292381759,0.514206589505013
2,"Asphalt Overlays on PCC Pavements",17.1925021801468,0.515174306300632
3,"Asphalt Overlays on PCC Pavements",17.2021767500965,0.515415746066291
