"end.day","day.sea","RMSE","MAPE"
2014-08-30,"Summer Night",8.09119610190609,0.168842135112801
2014-07-29,"Summer Night",9.59914023791732,0.185846919709611
2018-06-22,"Summer Night",10.4550270218864,0.221358893962699
2014-10-01,"Fall Night",11.858503299487,0.425769526121628
2008-04-23,"Spring Night",14.6532854444655,0.553139174252438
2010-11-02,"Fall Day",15.518966411869,0.332433305156647
2008-11-19,"Fall Day",15.7611939095384,0.486175626735535
2014-11-02,"Fall Night",16.1954925170026,0.908553024497203
2012-02-09,"Winter Day",16.5509106191211,0.449858392586049
2014-02-19,"Winter Night",16.9739482280376,0.924135262886533
2013-11-15,"Fall Night",17.0693967206233,1.09133440720943
2015-07-27,"Summer Day",17.0704649010231,0.285776754830399
2007-05-02,"Spring Day",17.3261009217352,0.31767202070378
2016-07-13,"Summer Day",17.9292709770045,0.286104970538396
2012-10-22,"Fall Day",18.6256081882025,0.429513781154016
2007-02-27,"Winter Day",19.0611349540973,0.558468132136075
