"run.n","nodal.spacing","i.top.temp","i.bot.temp","time.step","SVF","layer.profile","end.day","n.days","run.time","RMSE","CFL_fail","broke.t","ref","depth","batch.name","batch.id","albedo","emissivity","pave.name","valid.site","station.name","station.dist.km","pave.length","season","L1.layer","L1.thickness","L1.k","L1.rho","L1.c","L1.albedo","L1.emissivity","L1.R.c.top","pave.thick","mean.k","mean.c","mean.rho","L2.layer","L2.thickness","L2.k","L2.rho","L2.c","L2.albedo","L2.emissivity","L2.R.c.top","L3.layer","L3.thickness","L3.k","L3.rho","L3.c","L3.albedo","L3.emissivity","L3.R.c.top","min.T_0.5m","avg.T_0.5m","max.T_0.5m","min.T_1.0m","avg.T_1.0m","max.T_1.0m","date.time.obs","date.time.mod","dif.sec","Modeled","Observed","error","p.err","air.temp.c","daytime","day.sea"
41,10,33.5,33.5,30,1,3,2016-07-13,3,37.27,2.70056640899637,0,NA,5,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt 200mm","A6","Sheely",6.28538886184103,320,"Summer","surface",0.2,1.7,2350,950,0.15,0.9,0,0.5,3.95,4700,1825,"base",0.3,2.25,2350,875,NA,NA,0,"subgrade",1,1.4,1850,1500,NA,NA,0,33.4969102692783,34.0306689811539,35.5496444202759,33.296264166552,39.833580336363,47.4622945256456,2016-07-13 11:16:15,2016-07-13 11:16:30,14.5640001296997,78.8096058997591,56.3499984741211,22.459607425638,0.3985733457642,38.305,"Day","Summer Day"
42,10,33.5,33.5,30,0.1,3,2016-07-13,3,37.14,2.84350171325348,0,NA,5,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt 200mm","A6","Sheely",6.28538886184103,320,"Summer","surface",0.2,1.7,2350,950,0.15,0.9,0,0.5,3.95,4700,1825,"base",0.3,2.25,2350,875,NA,NA,0,"subgrade",1,1.4,1850,1500,NA,NA,0,33.4996025268885,33.5910120571751,33.8779145302708,33.4737688681387,34.701844459547,36.3949936385314,2016-07-13 11:16:15,2016-07-13 11:16:30,14.5640001296997,41.960956226707,56.3499984741211,14.3890422474141,0.25535124466813,38.305,"Day","Summer Day"
43,10,33.5,33.5,30,1,1,2015-07-27,3,37.11,2.4428306865107,0,NA,1,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt 80mm","A6","wx7wx Glendale",2.98257109888671,320,"Summer","surface",0.08,1.7,2350,950,0.15,0.9,0,0.18,3.95,4700,1825,"base",0.1,2.25,2350,875,NA,NA,0,"subgrade",1.32,1.4,1850,1500,NA,NA,0,33.4983097367642,33.813617152369,34.8500706269459,33.399369601382,37.7663958184243,43.4900255335271,2015-07-27 11:16:32,2015-07-27 11:16:30,2.98600006103516,78.2440960585072,58.8499984741211,19.3940975843861,0.329551369366892,36.835,"Day","Summer Day"
44,10,33.5,33.5,30,0.1,1,2015-07-27,3,37.06,2.80285307004577,0,NA,1,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt 80mm","A6","wx7wx Glendale",2.98257109888671,320,"Summer","surface",0.08,1.7,2350,950,0.15,0.9,0,0.18,3.95,4700,1825,"base",0.1,2.25,2350,875,NA,NA,0,"subgrade",1.32,1.4,1850,1500,NA,NA,0,33.4997717390243,33.5525701277239,33.7419662860186,33.4866090285919,34.2919142628882,35.5496310083114,2015-07-27 11:16:32,2015-07-27 11:16:30,2.98600006103516,41.8688009600961,58.8499984741211,16.981197514025,0.288550517490538,36.835,"Day","Summer Day"
45,10,33.5,33.5,30,1,2,2015-07-27,3,37.19,2.57819617470635,0,NA,3,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt 140mm","A6","wx7wx Glendale",2.98257109888671,320,"Summer","surface",0.14,1.7,2350,950,0.15,0.9,0,0.34,3.95,4700,1825,"base",0.2,2.25,2350,875,NA,NA,0,"subgrade",1.16,1.4,1850,1500,NA,NA,0,33.4976239322677,33.904972907796,35.1553505767793,33.3533771981001,38.664033987116,45.2080875595383,2015-07-27 11:16:32,2015-07-27 11:16:30,2.98600006103516,78.2618462159675,58.8499984741211,19.4118477418464,0.329852986323911,36.835,"Day","Summer Day"
46,10,33.5,33.5,30,0.1,2,2015-07-27,3,37.04,2.85707211227585,0,NA,3,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt 140mm","A6","wx7wx Glendale",2.98257109888671,320,"Summer","surface",0.14,1.7,2350,950,0.15,0.9,0,0.34,3.95,4700,1825,"base",0.2,2.25,2350,875,NA,NA,0,"subgrade",1.16,1.4,1850,1500,NA,NA,0,33.4996789675558,33.5684293655356,33.7998637953209,33.4805188469991,34.4661044646513,35.9072101441726,2015-07-27 11:16:32,2015-07-27 11:16:30,2.98600006103516,41.8172215122727,58.8499984741211,17.0327769618484,0.289426973720966,36.835,"Day","Summer Day"
47,10,33.5,33.5,30,1,3,2015-07-27,3,36.96,2.61415886555278,0,NA,5,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt 200mm","A6","wx7wx Glendale",2.98257109888671,320,"Summer","surface",0.2,1.7,2350,950,0.15,0.9,0,0.5,3.95,4700,1825,"base",0.3,2.25,2350,875,NA,NA,0,"subgrade",1,1.4,1850,1500,NA,NA,0,33.4966525344443,34.0203901186547,35.5162211278294,33.2853589428289,39.7301847885677,47.2141701568094,2015-07-27 11:16:32,2015-07-27 11:16:30,2.98600006103516,78.0946941859802,58.8499984741211,19.2446957118591,0.327012679878349,36.835,"Day","Summer Day"
48,10,33.5,33.5,30,0.1,3,2015-07-27,3,37.21,2.84974301810286,0,NA,5,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt 200mm","A6","wx7wx Glendale",2.98257109888671,320,"Summer","surface",0.2,1.7,2350,950,0.15,0.9,0,0.5,3.95,4700,1825,"base",0.3,2.25,2350,875,NA,NA,0,"subgrade",1,1.4,1850,1500,NA,NA,0,33.4995477802182,33.5888366773313,33.8704804866212,33.4715451392676,34.6785294790344,36.3367960757361,2015-07-27 11:16:32,2015-07-27 11:16:30,2.98600006103516,41.7883691780962,58.8499984741211,17.0616292960249,0.289917242793602,36.835,"Day","Summer Day"
49,10,33.5,33.5,30,1,1,2014-07-29,3,36.71,2.48912604164938,0,NA,1,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt 80mm","A6","wx7wx Glendale",2.98257109888671,320,"Summer","surface",0.08,1.7,2350,950,0.15,0.9,0,0.18,3.95,4700,1825,"base",0.1,2.25,2350,875,NA,NA,0,"subgrade",1.32,1.4,1850,1500,NA,NA,0,33.498684163467,33.8139323725313,34.8564113986396,33.416508455708,37.7988821063016,43.6528206154146,2014-07-29 22:35:14,2014-07-29 22:35:00,14.4520001411438,54.2376296249635,38.4500007629395,15.787628862024,0.410601522724575,34.46,"Night","Summer Night"
50,10,33.5,33.5,30,0.1,1,2014-07-29,3,36.68,2.8116285467963,0,NA,1,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt 80mm","A6","wx7wx Glendale",2.98257109888671,320,"Summer","surface",0.08,1.7,2350,950,0.15,0.9,0,0.18,3.95,4700,1825,"base",0.1,2.25,2350,875,NA,NA,0,"subgrade",1.32,1.4,1850,1500,NA,NA,0,33.4997878950647,33.5514723124062,33.7385626118918,33.487538695471,34.2844501831256,35.5600079375702,2014-07-29 22:35:14,2014-07-29 22:35:00,14.4520001411438,40.2741180360733,38.4500007629395,1.82411727313382,0.0474412805445773,34.46,"Night","Summer Night"
51,10,33.5,33.5,30,1,2,2014-07-29,3,36.65,2.62879783961183,0,NA,3,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt 140mm","A6","wx7wx Glendale",2.98257109888671,320,"Summer","surface",0.14,1.7,2350,950,0.15,0.9,0,0.34,3.95,4700,1825,"base",0.2,2.25,2350,875,NA,NA,0,"subgrade",1.16,1.4,1850,1500,NA,NA,0,33.4981392939637,33.9055528999109,35.1646204776856,33.3777758112183,38.7074303715884,45.4041019562756,2014-07-29 22:35:14,2014-07-29 22:35:00,14.4520001411438,53.9447453445938,38.4500007629395,15.4947445816543,0.402984246403167,34.46,"Night","Summer Night"
