day.frac,min.flux,mean.flux,max.flux
0,1.216770831,1.629706744,3.960133285
0.000694444,1.338628634,1.622945901,4.264758922
0.001388889,1.338628634,1.617086503,4.264758922
0.002083333,1.348363203,1.618203749,4.417071741
0.002777778,1.348363203,1.591364918,4.417071741
0.003472222,1.332381953,1.567508179,4.569384559
0.004166667,1.314238275,1.546162677,4.569384559
0.004861111,1.297908965,1.526951724,4.569384559
0.005555556,1.283134828,1.509570386,4.417071741
0.00625,1.26357229,1.486555635,4.569384559
0.006944444,1.245710841,1.465542166,4.874010197
0.007638889,1.223999301,1.439999178,4.569384559
0.008333333,1.203420046,1.415788289,4.569384559
0.009027778,1.183129929,1.391917563,4.569384559
0.009722222,1.157213806,1.361428007,4.569384559
0.010416667,1.131297683,1.330938451,5.178635834
0.011111111,0.987652081,1.299990798,4.173371231
0.011805556,0.987652081,1.269043144,4.130723642
0.0125,0.987652081,1.258566737,4.161186205
0.013194444,0.987652081,1.237832678,4.173371231
0.013888889,0.987652081,1.217098619,4.185556256
0.014583333,0.85275898,1.197706845,4.203833795
0.015277778,0.85275898,1.177133424,4.209926307
0.015972222,0.724633879,1.151129145,4.203833795
0.016666667,0.709517911,1.12622864,4.197741282
0.017361111,0.709517911,1.101328135,4.191648769
0.018055556,0.690725567,1.075980022,4.179463744
0.01875,0.690725567,1.056851901,4.167278718
0.019444444,0.690725567,1.040719845,4.142908667
0.020138889,0.690725567,1.040162155,4.136816154
0.020833333,0.882585065,1.038335371,5.330948652
0.021527778,0.879992756,1.035285595,4.874010197
0.022222222,0.877400447,1.03223582,4.874010197
0.022916667,0.880049404,1.03535224,4.874010197
0.023611111,0.885571947,1.04184935,4.721697378
0.024305556,0.891094491,1.04834646,4.721697378
0.025,0.775660965,1.054958017,4.417071741
0.025694444,0.775660965,1.062310552,4.417071741
0.026388889,0.766149316,1.069831405,4.264758922
0.027083333,0.911348763,1.072175016,4.264758922
0.027777778,0.913340832,1.074518626,4.569384559
0.028472222,0.915332901,1.076862236,4.063706001
0.029166667,0.917324969,1.079205846,4.063706001
0.029861111,0.899947274,1.058761499,3.990595848
0.030555556,0.890901214,1.048119075,3.929670721
0.03125,0.882580838,1.038330398,3.874838106
0.031944444,0.874260462,1.02854172,3.820005492
0.032638889,0.866569918,1.019494021,3.77126539
0.033333333,0.859509637,1.251913848,3.765172877
0.034027778,0.859509637,1.475607381,3.740802826
0.034722222,0.862943315,1.699300914,3.716432775
0.035416667,0.738535215,1.923460704,3.698155237
0.036111111,0.738535215,2.097769759,3.679877698
0.036805556,0.738535215,2.302782787,3.655507647
0.0375,0.738535215,2.501564437,3.631137596
0.038194444,0.836799956,2.701564416,3.612860058
0.038888889,0.818784121,2.902738467,3.600675033
0.039583333,0.83620053,3.103414005,3.607497109
0.040277778,0.83620053,3.298169995,3.833887036
0.040972222,0.83620053,3.496028434,4.063883338
0.041666667,2.570543214,3.693067276,7.742180045
0.042361111,2.557178171,3.896025666,7.301431344
0.043055556,2.543813129,4.098984056,7.301431344
0.04375,2.5349031,4.310076336,7.301431344
0.044444444,2.521538057,4.379592426,7.301431344
0.045138889,2.508173015,4.449108517,7.408295368
0.045833333,2.45025783,4.518624608,7.111854584
0.046527778,2.45025783,4.588140699,7.111854584
0.047222222,2.45025783,4.653032566,7.111854584
0.047916667,2.338882474,4.701696307,7.097367427
0.048611111,2.338882474,4.749540452,7.097367427
0.049305556,2.338882474,4.797384597,7.097367427
0.05,2.227507118,4.845228741,7.07354939
0.050694444,2.227507118,4.666009537,7.07354939
0.051388889,2.227507118,4.501956811,7.07354939
0.052083333,2.200777032,4.337904085,7.314621789
0.052777778,2.116131762,4.173851359,4.851804073
