id,lon1,lon2,lon3,lon4,lat1,lat2,lat3,lat4,cloud,cloud.UL,cloud.UR,cloud.LL,cloud.LR,date.time,day.time,idx,A1,A2,A3,A4,A5,A6,B1,B2,B3,C1,C2,C3,C4,M1,M2,M3
AST_08_00301192014053509_20190206145548_11875,-112.610619,-111.8156342,-111.6996954,-112.4897716,33.80184719,33.91978093,33.35992673,33.24284623,0,0,0,0,0,1/18/2014 22:35,night,77,11.05000019,13.64999962,10.25,11.64999962,15.35000038,12.44999981,7.349999905,7.050000191,5.25,12.44999981,0,11.25,13.05000019,11.25,11.55000019,13.94999981
AST_08_00308312014053536_20190206150245_25957,-112.6139242,-111.8189441,-111.702984,-112.4930556,33.80188878,33.91984377,33.35999297,33.24289165,0,0,0,0,0,8/30/2014 22:35,night,877,34.15000153,37.95000076,36.54999924,36.34999847,39.25,36.65000153,28.85000038,27.95000076,28.04999924,37.04999924,0,32.45000076,36.95000076,33.65000153,35.54999924,28.54999924
AST_08_00311032014053519_20190206145845_13098,-112.5773052,-111.7822226,-111.6664918,-112.456662,33.80686239,33.92458275,33.36469493,33.24782361,0,0,0,0,0,11/2/2014 22:35,night,1102,16.04999924,17.25,17.35000038,17.35000038,19.25,17.25,11.94999981,10.94999981,9.649999619,17.64999962,0,14.25,18.95000076,13.35000038,15.25,12.35000038
