"run.n","nodal.spacing","i.top.temp","i.bot.temp","time.step","SVF","layer.profile","end.day","n.days","run.time","RMSE","CFL_fail","broke.t","ref","depth","batch.name","batch.id","albedo","emissivity","pave.name","valid.site","station.name","station.dist.km","pave.length","season","L1.layer","L1.thickness","L1.k","L1.rho","L1.c","L1.albedo","L1.emissivity","L1.R.c.top","pave.thick","mean.k","mean.c","mean.rho","L2.layer","L2.thickness","L2.k","L2.rho","L2.c","L2.albedo","L2.emissivity","L2.R.c.top","L3.layer","L3.thickness","L3.k","L3.rho","L3.c","L3.albedo","L3.emissivity","L3.R.c.top","min.T_0.5m","avg.T_0.5m","max.T_0.5m","min.T_1.0m","avg.T_1.0m","max.T_1.0m","date.time.obs","date.time.mod","dif.sec","Modeled","Observed","error","p.err","air.temp.c","daytime","day.sea"
1,10,33.5,33.5,30,1,1,2012-02-09,3,30.99,0,0,NA,1,1.5,"Asphalt Pavements","A",0.15,0.85,"Asphalt #3","A6","City of Glendale",6.32151946212,320,"Winter","surface",0.1,2.2,2500,1400,0.15,0.85,0,0.25,5.2,4800,2350,"base",0.15,3,2300,950,NA,NA,0,"subgrade",1.25,1.8,2000,1900,NA,NA,0,33.4879111982655,33.5733924534359,33.8700259695145,33.1495134513762,34.7729280114203,36.8366714460943,2012-02-09 11:15:01,2012-02-09 11:15:00,1.10899996757507,52.1386654008151,27.3500003814697,24.7886650193454,0.906349713842794,21.11,"Day","Winter Day"
2,10,33.5,33.5,30,0.5,1,2012-02-09,3,36.74,1.26013187123542,0,NA,1,1.5,"Asphalt Pavements","A",0.15,0.85,"Asphalt #3","A6","City of Glendale",6.32151946212,320,"Winter","surface",0.1,2.2,2500,1400,0.15,0.85,0,0.25,5.2,4800,2350,"base",0.15,3,2300,950,NA,NA,0,"subgrade",1.25,1.8,2000,1900,NA,NA,0,33.493256531086,33.545012943883,33.7314308241436,33.3051452966617,34.3106293404904,35.681490905003,2012-02-09 11:15:01,2012-02-09 11:15:00,1.10899996757507,44.3825790069731,27.3500003814697,17.0325786255033,0.622763377986763,21.11,"Day","Winter Day"
3,10,33.5,33.5,30,1,2,2012-02-09,3,36.97,0,0,NA,3,1.5,"Asphalt Pavements","A",0.2,0.9,"Asphalt #4","A6","City of Glendale",6.32151946212,320,"Winter","surface",0.15,1.7,2350,950,0.2,0.9,0,0.35,3.95,4700,1825,"base",0.2,2.25,2350,875,NA,NA,0,"subgrade",1.15,1.4,1850,1500,NA,NA,0,33.47490169208,33.5751200972633,33.8809212815403,32.8888230322409,34.6794766978484,36.783221462429,2012-02-09 11:15:01,2012-02-09 11:15:00,1.10899996757507,54.0903855346904,27.3500003814697,26.7403851532207,0.977710595256077,21.11,"Day","Winter Day"
4,10,33.5,33.5,30,0.5,2,2012-02-09,3,36.82,1.39660222456245,0,NA,3,1.5,"Asphalt Pavements","A",0.2,0.9,"Asphalt #4","A6","City of Glendale",6.32151946212,320,"Winter","surface",0.15,1.7,2350,950,0.2,0.9,0,0.35,3.95,4700,1825,"base",0.2,2.25,2350,875,NA,NA,0,"subgrade",1.15,1.4,1850,1500,NA,NA,0,33.4859410007916,33.5517607769841,33.7634942099241,33.1534758026235,34.3301994904885,35.8068223137286,2012-02-09 11:15:01,2012-02-09 11:15:00,1.10899996757507,45.5454491373019,27.3500003814697,18.1954487558322,0.665281480879249,21.11,"Day","Winter Day"
5,10,33.5,33.5,30,1,3,2012-02-09,3,37,0,0,NA,5,1.5,"Asphalt Pavements","A",0.25,0.95,"Asphalt #5","A6","City of Glendale",6.32151946212,320,"Winter","surface",0.2,1.2,2200,850,0.25,0.95,0,0.5,2.7,4600,1650,"base",0.3,1.5,2400,800,NA,NA,0,"subgrade",1,1,1500,1100,NA,NA,0,33.4542454264549,33.5578615287082,33.8260481868293,32.713851544941,34.2958724328891,36.015317917015,2012-02-09 11:15:01,2012-02-09 11:15:00,1.10899996757507,54.3984061135938,27.3500003814697,27.048405732124,0.988972773486686,21.11,"Day","Winter Day"
6,10,33.5,33.5,30,0.5,3,2012-02-09,3,36.78,1.40858888065255,0,NA,5,1.5,"Asphalt Pavements","A",0.25,0.95,"Asphalt #5","A6","City of Glendale",6.32151946212,320,"Winter","surface",0.2,1.2,2200,850,0.25,0.95,0,0.5,2.7,4600,1650,"base",0.3,1.5,2400,800,NA,NA,0,"subgrade",1,1,1500,1100,NA,NA,0,33.4728647340767,33.5464201939584,33.7538091925557,33.0315796261907,34.1319236139214,35.412238940584,2012-02-09 11:15:01,2012-02-09 11:15:00,1.10899996757507,45.6093661974184,27.3500003814697,18.2593658159487,0.66761848487285,21.11,"Day","Winter Day"
7,10,33.5,33.5,30,1,1,2014-02-19,3,36.99,1.20980387442538,0,NA,1,1.5,"Asphalt Pavements","A",0.15,0.85,"Asphalt #3","A6","Sheely",6.28538886184103,320,"Winter","surface",0.1,2.2,2500,1400,0.15,0.85,0,0.25,5.2,4800,2350,"base",0.15,3,2300,950,NA,NA,0,"subgrade",1.25,1.8,2000,1900,NA,NA,0,33.489604642265,33.5982020509408,33.9776414761873,33.175891839985,35.1382998760493,37.6709882696739,2014-02-19 22:35:14,2014-02-19 22:35:00,14.8699998855591,40.4635659513789,18.4500007629395,22.0135651884394,1.19314711534636,19.07,"Night","Winter Night"
8,10,33.5,33.5,30,0.5,1,2014-02-19,3,37.09,1.99336349970624,0,NA,1,1.5,"Asphalt Pavements","A",0.15,0.85,"Asphalt #3","A6","Sheely",6.28538886184103,320,"Winter","surface",0.1,2.2,2500,1400,0.15,0.85,0,0.25,5.2,4800,2350,"base",0.15,3,2300,950,NA,NA,0,"subgrade",1.25,1.8,2000,1900,NA,NA,0,33.4940269506665,33.558922245022,33.793939025039,33.3163236255274,34.5256773959786,36.1965255848543,2014-02-19 22:35:14,2014-02-19 22:35:00,14.8699998855591,39.6304999423598,18.4500007629395,21.1804991794203,1.14799448799838,19.07,"Night","Winter Night"
9,10,33.5,33.5,30,1,2,2014-02-19,3,37.24,0.739488124015044,0,NA,3,1.5,"Asphalt Pavements","A",0.2,0.9,"Asphalt #4","A6","Sheely",6.28538886184103,320,"Winter","surface",0.15,1.7,2350,950,0.2,0.9,0,0.35,3.95,4700,1825,"base",0.2,2.25,2350,875,NA,NA,0,"subgrade",1.15,1.4,1850,1500,NA,NA,0,33.4790262523288,33.6146314125684,34.0376618261448,32.943161423146,35.1647818419672,37.8000148525618,2014-02-19 22:35:14,2014-02-19 22:35:00,14.8699998855591,36.1923140855782,18.4500007629395,17.7423133226387,0.961642958751402,19.07,"Night","Winter Night"
10,10,33.5,33.5,30,0.5,2,2014-02-19,3,37.08,1.58656023835333,0,NA,3,1.5,"Asphalt Pavements","A",0.2,0.9,"Asphalt #4","A6","Sheely",6.28538886184103,320,"Winter","surface",0.15,1.7,2350,950,0.2,0.9,0,0.35,3.95,4700,1825,"base",0.2,2.25,2350,875,NA,NA,0,"subgrade",1.15,1.4,1850,1500,NA,NA,0,33.487611953595,33.5745604128961,33.8587643234218,33.1738229223116,34.6287079883617,36.4717738955941,2014-02-19 22:35:14,2014-02-19 22:35:00,14.8699998855591,37.6421089670907,18.4500007629395,19.1921082041512,1.04022262387666,19.07,"Night","Winter Night"
11,10,33.5,33.5,30,1,3,2014-02-19,3,37.18,0.463038827641156,0,NA,5,1.5,"Asphalt Pavements","A",0.25,0.95,"Asphalt #5","A6","Sheely",6.28538886184103,320,"Winter","surface",0.2,1.2,2200,850,0.25,0.95,0,0.5,2.7,4600,1650,"base",0.3,1.5,2400,800,NA,NA,0,"subgrade",1,1,1500,1100,NA,NA,0,33.4614076912047,33.6154953942566,34.0429485065617,32.7807793017694,34.8466882678458,37.1571147823666,2014-02-19 22:35:14,2014-02-19 22:35:00,14.8699998855591,32.2957565409953,18.4500007629395,13.8457557780559,0.750447436613004,19.07,"Night","Winter Night"
12,10,33.5,33.5,30,0.5,3,2014-02-19,3,37.14,1.37810041929163,0,NA,5,1.5,"Asphalt Pavements","A",0.25,0.95,"Asphalt #5","A6","Sheely",6.28538886184103,320,"Winter","surface",0.2,1.2,2200,850,0.25,0.95,0,0.5,2.7,4600,1650,"base",0.3,1.5,2400,800,NA,NA,0,"subgrade",1,1,1500,1100,NA,NA,0,33.4764189221028,33.5824142956777,33.8955823999603,33.0628813386332,34.4937819513926,36.2047544419211,2014-02-19 22:35:14,2014-02-19 22:35:00,14.8699998855591,35.4972449287177,18.4500007629395,17.0472441657782,0.923969835276162,19.07,"Night","Winter Night"
13,10,33.5,33.5,30,1,1,2007-02-27,3,36.71,1.11428778430011,0,NA,1,1.5,"Asphalt Pavements","A",0.15,0.85,"Asphalt #3","A6","KC7FQC Phoenix",9.90081982015144,320,"Winter","surface",0.1,2.2,2500,1400,0.15,0.85,0,0.25,5.2,4800,2350,"base",0.15,3,2300,950,NA,NA,0,"subgrade",1.25,1.8,2000,1900,NA,NA,0,33.4845450744029,33.57518795638,33.8935171393535,33.0815309903267,34.8665254056787,37.2297619355338,2007-02-27 11:15:37,2007-02-27 11:15:30,7.75300002098083,54.558518889202,30.4500007629395,24.1085181262626,0.791741133734386,18.9186666666666,"Day","Winter Day"
