"station.name","RMSE","MAPE"
"Phoenix Encanto",5.89248333348464,0.0948636444014511
"EW1464 Phoenix",6.19174965173605,0.0957192108404588
"EW0706 Phoenix",9.18420188130296,0.243272449735853
"South Mountain Park",10.173987293719,0.192004066148373
"SRP",10.9020551350254,0.224099609933847
"Durango Complex",12.1363934624353,0.43929748222395
"GateWay Community College",14.2493053809205,0.504386204094049
"wx7wx Glendale",14.3461599360495,0.363963898381066
"Kay",15.2777338335412,1.01886886023918
"Phoenix, Phoenix Sky Harbor International Airport",15.6542757679427,0.678172659017121
"Sheely",16.6415207496717,0.695595254358647
"CW2674 Youngtown",18.687030507228,0.368887628271681
"KC7FQC Phoenix",20.2718059163648,0.668451927104636
"City of Glendale",22.4111705244762,0.80468056980371
