"layer.profile","batch.name","RMSE","MAPE"
3,"Whitetopped Asphalt Pavements",11.472593289161,0.407897058859202
3,"Bare Ground / Desert Soil",11.4803124975148,0.489008536854976
3,"Concrete Pavements",11.9526070868045,0.384082431212497
2,"Bare Ground / Desert Soil",13.0323314110637,0.570565812288021
2,"Whitetopped Asphalt Pavements",13.2421175464589,0.485505927045636
2,"Concrete Pavements",13.602648262814,0.453543198779716
1,"Bare Ground / Desert Soil",14.2093902108818,0.628480296171495
1,"Whitetopped Asphalt Pavements",14.6236525740457,0.542288602885364
1,"Concrete Pavements",14.9718457380177,0.506304770771115
3,"Asphalt Pavements",16.4058761977632,0.513289421764884
3,"Asphalt Overlays on PCC Pavements",16.5969519389352,0.521803475672199
2,"Asphalt Pavements",17.2681612349743,0.564041079262318
2,"Asphalt Overlays on PCC Pavements",17.633357948625,0.578424315044897
1,"Asphalt Pavements",17.7130490281868,0.598000782442715
1,"Asphalt Overlays on PCC Pavements",18.2136828984123,0.615128823048133
