"station.name","RMSE","MAPE"
"EW0706 Phoenix",7.29534908437669,0.15613314106927
"Durango Complex",10.4370277209182,0.208340064199754
"SRP",12.2279188497223,0.2200779174877
"South Mountain Park",12.4898091508736,0.248439402411039
"GateWay Community College",13.0320935482892,0.442304368371178
"wx7wx Glendale",14.4493756618911,0.308134011000009
"Phoenix, Phoenix Sky Harbor International Airport",15.0339773099123,0.632232229090252
"Phoenix Encanto",16.1507327773112,0.238259157232681
"Sheely",16.6615292210789,0.675808834407298
"EW1464 Phoenix",16.8503734680925,0.243475259228888
"KC7FQC Phoenix",19.0546168854086,0.558224664107011
"CW2674 Youngtown",19.8338293561279,0.356176436702219
"City of Glendale",21.4749392978355,0.700348963198088
