"end.day","day.sea","RMSE","MAPE"
2014-08-30,"Summer Night",8.02502497787224,0.167608050311006
2014-07-29,"Summer Night",9.53805089344908,0.184879790791966
2018-06-22,"Summer Night",10.3901566678116,0.220044435825713
2014-10-01,"Fall Night",11.8040851856254,0.424283574076819
2008-04-23,"Spring Night",14.5908917964006,0.551336437993525
2010-11-02,"Fall Day",15.5269228230143,0.332010372969633
2008-11-19,"Fall Day",15.7315773034188,0.484848572986275
2014-11-02,"Fall Night",16.1592607682027,0.906847850237614
2012-02-09,"Winter Day",16.5517315042242,0.448822212042059
2014-02-19,"Winter Night",16.929787700395,0.922163446988453
2013-11-15,"Fall Night",17.0338952790089,1.0894028990173
2015-07-27,"Summer Day",17.0796007135736,0.285364112049346
2007-05-02,"Spring Day",17.3296183384206,0.317199608029116
2016-07-13,"Summer Day",17.9476902837937,0.285726094256239
2012-10-22,"Fall Day",18.615186503224,0.428817966588074
2007-02-27,"Winter Day",19.0514513584233,0.557729454670639
