"end.day","day.sea","RMSE","MAPE"
2016-07-13,"Summer Day",5.26452983163925,0.0679793467315179
2008-11-19,"Fall Day",5.31901702631059,0.13175668517888
2007-05-02,"Spring Day",5.45588892366347,0.0952194396772895
2007-02-27,"Winter Day",5.578778666236,0.155568931150418
2010-11-02,"Fall Day",5.94404333138259,0.140675307328399
2012-02-09,"Winter Day",6.46017887496308,0.176347032997944
2014-07-29,"Summer Night",7.11292147939114,0.157560271518276
2012-10-22,"Fall Day",7.37563056744912,0.186195110071286
2015-07-27,"Summer Day",7.40967701341829,0.105912265890072
2014-10-01,"Fall Night",7.60112520132495,0.262650617602507
2018-06-22,"Summer Night",7.62233821001319,0.183760089023124
2014-08-30,"Summer Night",7.63462459610088,0.189842490135052
2014-02-19,"Winter Night",8.31953734841128,0.435260618520568
2013-11-15,"Fall Night",8.71167026852998,0.532386453311274
2014-11-02,"Fall Night",8.84451596164548,0.485344314001849
2008-04-23,"Spring Night",10.7561509800918,0.397348993223271
2012-02-09,NA,NA,NA
2014-02-19,NA,NA,NA
2007-02-27,NA,NA,NA
2008-04-23,NA,NA,NA
2007-05-02,NA,NA,NA
2018-06-22,NA,NA,NA
2016-07-13,NA,NA,NA
2015-07-27,NA,NA,NA
2014-07-29,NA,NA,NA
2014-08-30,NA,NA,NA
2014-10-01,NA,NA,NA
2012-10-22,NA,NA,NA
2010-11-02,NA,NA,NA
2014-11-02,NA,NA,NA
2013-11-15,NA,NA,NA
2008-11-19,NA,NA,NA
