"run.n","nodal.spacing","n.iterations","i.top.temp","i.bot.temp","time.step","pave.length","SVF","layer.profile","end.day","n.days","run.time","RMSE","CFL_fail","broke.t","ref","depth","batch.name","batch.id","albedo","emissivity","pave.name","valid.site","station.name","station.dist.km","season","L1.layer","L1.thickness","L1.k","L1.rho","L1.c","L1.albedo","L1.emissivity","L1.R.c.top","pave.thick","mean.k","mean.c","mean.rho","L2.layer","L2.thickness","L2.k","L2.rho","L2.c","L2.albedo","L2.emissivity","L2.R.c.top","L3.layer","L3.thickness","L3.k","L3.rho","L3.c","L3.albedo","L3.emissivity","L3.R.c.top","L4.layer","L4.thickness","L4.k","L4.rho","L4.c","L4.albedo","L4.emissivity","L4.R.c.top","L5.layer","L5.thickness","L5.k","L5.rho","L5.c","L5.albedo","L5.emissivity","L5.R.c.top","min.T_0.5m","avg.T_0.5m","max.T_0.5m","min.T_1.0m","avg.T_1.0m","max.T_1.0m","date.time.obs","date.time.mod","dif.sec","Modeled","Observed","error","p.err","air.temp.c","daytime","day.sea"
18,10,1,33.5,33.5,30,100,1,4,2014-02-19,3,39.16,0,0,NA,7,1.5,"Bare Ground / Desert Soil","BG",0.45,0.9525,"Bare Dry Soil #4","B1","KC7FQC Phoenix",3.80679156860757,"Winter","surface",0.75,0.725,1850,1075,0.45,0.9525,0,0.75,0.725,1850,1075,"subgrade",0.75,0.725,1850,1075,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.361112351412,33.4671289945744,33.5,31.8065707013692,32.8233424423299,33.5,2014-02-19 22:35:14,2014-02-19 22:35:00,14.8699998855591,19.2284839444652,12.4499998092651,6.77848413520002,0.54445656538529,16.6426666666667,"Night","Winter Night"
19,10,1,33.5,33.5,30,10,1,5,2014-02-19,3,40.29,0,0,NA,9,1.5,"Bare Ground / Desert Soil","BG",0.5,0.97,"Bare Dry Soil #5","B1","KC7FQC Phoenix",3.80679156860757,"Winter","surface",0.75,0.3,2000,800,0.5,0.97,0,0.75,0.3,2000,800,"subgrade",0.75,0.3,2000,800,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.484838029388,33.4977123253472,33.5,32.4841221598947,33.1613248331785,33.5,2014-02-19 22:35:14,2014-02-19 22:35:00,14.8699998855591,14.0190470014978,12.4499998092651,1.56904719223269,0.126027888857076,16.6426666666667,"Night","Winter Night"
20,10,1,33.5,33.5,30,100,1,5,2014-02-19,3,40.01,0,0,NA,9,1.5,"Bare Ground / Desert Soil","BG",0.5,0.97,"Bare Dry Soil #5","B1","KC7FQC Phoenix",3.80679156860757,"Winter","surface",0.75,0.3,2000,800,0.5,0.97,0,0.75,0.3,2000,800,"subgrade",0.75,0.3,2000,800,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.4851036381238,33.4977431794949,33.5,32.5095440182537,33.1691278118981,33.5,2014-02-19 22:35:14,2014-02-19 22:35:00,14.8699998855591,14.1527653047513,12.4499998092651,1.70276549548612,0.136768314985751,16.6426666666667,"Night","Winter Night"
21,10,1,33.5,33.5,30,10,1,1,2007-02-27,3,39.97,0,0,NA,1,1.5,"Bare Ground / Desert Soil","BG",0.3,0.9,"Bare Dry Soil #1","B1","Phoenix Greenway",4.20208329207269,"Winter","surface",0.75,2,1400,1900,0.3,0.9,0,0.75,2,1400,1900,"subgrade",0.75,2,1400,1900,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.9529495926918,33.3140394680858,33.5,31.3019440787924,32.3445257089749,33.5,2007-02-27 11:15:37,2007-02-27 11:15:30,7.75300002098083,33.4772241390309,31.0499992370605,2.42722490197031,0.0781714963481618,17.6583333333333,"Day","Winter Day"
22,10,1,33.5,33.5,30,100,1,1,2007-02-27,3,39.86,0,0,NA,1,1.5,"Bare Ground / Desert Soil","BG",0.3,0.9,"Bare Dry Soil #1","B1","Phoenix Greenway",4.20208329207269,"Winter","surface",0.75,2,1400,1900,0.3,0.9,0,0.75,2,1400,1900,"subgrade",0.75,2,1400,1900,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.0213938601884,33.3334665404813,33.5,31.5757027125249,32.4861403902981,33.5,2007-02-27 11:15:37,2007-02-27 11:15:30,7.75300002098083,34.2562499768716,31.0499992370605,3.20625073981108,0.103260895928918,17.6583333333333,"Day","Winter Day"
23,10,1,33.5,33.5,30,10,1,2,2007-02-27,3,39.51,0,0,NA,3,1.5,"Bare Ground / Desert Soil","BG",0.35,0.9175,"Bare Dry Soil #2","B1","Phoenix Greenway",4.20208329207269,"Winter","surface",0.75,1.575,1550,1625,0.35,0.9175,0,0.75,1.575,1550,1625,"subgrade",0.75,1.575,1550,1625,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.9909070608849,33.3446502634099,33.5,31.0137581688626,32.2349940438523,33.5,2007-02-27 11:15:37,2007-02-27 11:15:30,7.75300002098083,32.3333300375418,31.0499992370605,1.28333080048122,0.0413311057009454,17.6583333333333,"Day","Winter Day"
24,10,1,33.5,33.5,30,100,1,2,2007-02-27,3,39.91,0,0,NA,3,1.5,"Bare Ground / Desert Soil","BG",0.35,0.9175,"Bare Dry Soil #2","B1","Phoenix Greenway",4.20208329207269,"Winter","surface",0.75,1.575,1550,1625,0.35,0.9175,0,0.75,1.575,1550,1625,"subgrade",0.75,1.575,1550,1625,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.0398326337908,33.3576698333821,33.5,31.2573437692512,32.3555961577574,33.5,2007-02-27 11:15:37,2007-02-27 11:15:30,7.75300002098083,33.0722460603002,31.0499992370605,2.02224682323964,0.0651287237658265,17.6583333333333,"Day","Winter Day"
25,10,1,33.5,33.5,30,10,1,3,2007-02-27,3,40.36,0,0,NA,5,1.5,"Bare Ground / Desert Soil","BG",0.4,0.935,"Bare Dry Soil #3","B1","Phoenix Greenway",4.20208329207269,"Winter","surface",0.75,1.15,1700,1350,0.4,0.935,0,0.75,1.15,1700,1350,"subgrade",0.75,1.15,1700,1350,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.0785794596433,33.3860477983087,33.5,30.7691286477441,32.1806368720565,33.5,2007-02-27 11:15:37,2007-02-27 11:15:30,7.75300002098083,31.2983567161281,31.0499992370605,0.248357479067522,0.00799863076231862,17.6583333333333,"Day","Winter Day"
26,10,1,33.5,33.5,30,100,1,3,2007-02-27,3,40.27,0,0,NA,5,1.5,"Bare Ground / Desert Soil","BG",0.4,0.935,"Bare Dry Soil #3","B1","Phoenix Greenway",4.20208329207269,"Winter","surface",0.75,1.15,1700,1350,0.4,0.935,0,0.75,1.15,1700,1350,"subgrade",0.75,1.15,1700,1350,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.1090645265468,33.3934662142128,33.5,30.9775852360713,32.2769190061767,33.5,2007-02-27 11:15:37,2007-02-27 11:15:30,7.75300002098083,31.9853275920515,31.0499992370605,0.935328354990929,0.0301232971972039,17.6583333333333,"Day","Winter Day"
27,10,1,33.5,33.5,30,10,1,4,2007-02-27,3,40.27,0,0,NA,7,1.5,"Bare Ground / Desert Soil","BG",0.45,0.9525,"Bare Dry Soil #4","B1","Phoenix Greenway",4.20208329207269,"Winter","surface",0.75,0.725,1850,1075,0.45,0.9525,0,0.75,0.725,1850,1075,"subgrade",0.75,0.725,1850,1075,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.2589983606738,33.4460880822894,33.5,30.7803204919082,32.3320339483708,33.5,2007-02-27 11:15:37,2007-02-27 11:15:30,7.75300002098083,30.7168568212685,31.0499992370605,0.333142415792054,0.0107292246047601,17.6583333333333,"Day","Winter Day"
