"station.name","RMSE","MAPE"
"DW0691 Phoenix",4.24215813044712,0.0465280427681376
"Phoenix Greenway",5.27350385370696,0.13905078016595
"South Mountain Park",5.57793133722527,0.125253608579042
"Durango Complex",6.05865868800394,0.169646350475382
"EW8980 Phoenix",6.50282020573124,0.145489890135866
"SRP",7.14311090999279,0.289150865005701
"KC7FQC Phoenix",7.9756756100936,0.34494783332802
"City of Glendale",8.00292009292517,0.238492774558605
"wx7wx Glendale",8.11564087480443,0.233848229663789
"Sheely",8.28436707728849,0.267463939449586
"Desert Ridge",8.42667503916976,0.247228723537492
"DW0931 Scottsdale",9.09175828721952,0.236249576568499
"EW3307 Scottsdale",9.31360718419098,0.479324383513745
"Phoenix Encanto",9.94725364738282,0.292579968028546
