"end.day","day.sea","RMSE","MAPE"
2014-07-29,"Summer Night",5.44490221562419,0.140650736701538
2012-02-09,"Winter Day",6.34651272214491,0.1699603623492
2014-10-01,"Fall Night",6.47661679102523,0.254107372843933
2012-10-22,"Fall Day",6.59414337035228,0.146621842429589
2014-08-30,"Summer Night",6.64593502283343,0.180859674579846
2013-11-15,"Fall Night",7.20589342088151,0.44198326770616
2010-11-02,"Fall Day",7.26566858100941,0.157498074964108
2014-02-19,"Winter Night",7.34472029112527,0.450757221054787
2018-06-22,"Summer Night",7.35032844915185,0.200662414334598
2008-11-19,"Fall Day",7.42192603009534,0.189679796638701
2014-11-02,"Fall Night",8.1672928575371,0.50899387516406
2013-10-30,"Fall Night",8.31392855920705,0.569529915084585
2016-07-13,"Summer Day",9.15532162508999,0.107598497093682
2007-02-27,"Winter Day",9.31140266617184,0.262979917477983
2007-05-02,"Spring Day",9.32940637155571,0.143720119454781
2008-04-23,"Spring Night",9.68324523590145,0.395746955817155
2015-07-27,"Summer Day",9.93171854621736,0.121317110732532
2007-06-26,"Summer Day",16.5017200392157,0.291156455092006
2012-02-09,NA,NA,NA
2014-02-19,NA,NA,NA
2007-02-27,NA,NA,NA
2008-04-23,NA,NA,NA
2007-05-02,NA,NA,NA
2018-06-22,NA,NA,NA
2007-06-26,NA,NA,NA
2016-07-13,NA,NA,NA
2015-07-27,NA,NA,NA
2014-07-29,NA,NA,NA
2014-08-30,NA,NA,NA
2014-10-01,NA,NA,NA
2012-10-22,NA,NA,NA
2013-10-30,NA,NA,NA
2010-11-02,NA,NA,NA
2014-11-02,NA,NA,NA
2013-11-15,NA,NA,NA
2008-11-19,NA,NA,NA
