"run.n","nodal.spacing","n.iterations","i.top.temp","i.bot.temp","time.step","pave.length","SVF","layer.profile","end.day","n.days","run.time","RMSE","CFL_fail","broke.t","ref","depth","batch.name","batch.id","albedo","emissivity","pave.name","valid.site","station.name","station.dist.km","season","L1.layer","L1.thickness","L1.k","L1.rho","L1.c","L1.albedo","L1.emissivity","L1.R.c.top","pave.thick","mean.k","mean.c","mean.rho","L2.layer","L2.thickness","L2.k","L2.rho","L2.c","L2.albedo","L2.emissivity","L2.R.c.top","L3.layer","L3.thickness","L3.k","L3.rho","L3.c","L3.albedo","L3.emissivity","L3.R.c.top","min.T_0.5m","avg.T_0.5m","max.T_0.5m","min.T_1.0m","avg.T_1.0m","max.T_1.0m","date.time.obs","date.time.mod","dif.sec","Modeled","Observed","error","p.err","air.temp.c","daytime","day.sea"
14,10,1,33.5,33.5,30,100,1,2,2007-05-02,3,23.22,2.15221317653698,0,NA,2,1.5,"High Volume Asphalt Pavements","HVA",0.175,0.9,"High Volume HMA (OGFC 25mm rebonded on 275mm DGHMA)","A5","Mesa",10.9260615979618,"Spring","surface",0.025,1.16,2400,964,0.175,0.9,0,0.3,2.26,4750,1904,"base",0.275,1.1,2350,940,NA,NA,0,"subgrade",1.2,1,1500,1900,NA,NA,0,33.4973291824318,33.5391532499055,33.711109683116,33.3526138991594,34.5913811506381,35.9966304265757,2007-05-02 11:15:22,2007-05-02 11:15:30,7.88000011444092,62.0524830065897,41.6500015258789,20.4024814807108,0.489855479789932,27.7841666666667,"Day","Spring Day"
15,10,1,33.5,33.5,30,100,1,3,2007-05-02,3,23.31,1.98117583895309,0,NA,3,1.5,"High Volume Asphalt Pavements","HVA",0.25,0.85,"High Volume HMA (OGFC 50mm rebonded on 250mm DGHMA)","A9","Mesa",10.9260615979618,"Spring","surface",0.05,1.2,2500,964,0.25,0.85,0,0.3,2.28,4900,1924,"base",0.25,1.08,2400,960,NA,NA,0,"subgrade",1.2,1,1500,1900,NA,NA,0,33.4978256610818,33.538372063376,33.7086815718328,33.3760595171537,34.5861389214555,35.9705943943793,2007-05-02 11:15:22,2007-05-02 11:15:30,7.88000011444092,57.2929440115956,48.25,9.04294401159564,0.187418528737733,28.4841666666667,"Day","Spring Day"
16,10,1,33.5,33.5,30,100,1,1,2018-06-22,3,23.82,3.43640124566718,0,NA,1,1.5,"High Volume Asphalt Pavements","HVA",0.15,0.87,"High Volume HMA (OGFC 35mm rebonded on 265mm DGHMA)","A3","Mesa",10.9260615979618,"Summer","surface",0.035,0.96,2350,945,0.15,0.87,0,0.3,1.88,4650,1845,"base",0.265,0.92,2300,900,NA,NA,0,"subgrade",1.2,1.1,1500,1900,NA,NA,0,33.4983649856532,33.5722369249952,33.8843831779399,33.4013841119329,35.3513045278471,38.2366076629132,2018-06-22 22:36:37,2018-06-22 22:36:30,7.16900014877319,44.3251423147041,NA,NA,NA,33.922,"Night","Summer Night"
17,10,1,33.5,33.5,30,100,1,2,2018-06-22,3,23.46,3.46000289413124,0,NA,2,1.5,"High Volume Asphalt Pavements","HVA",0.175,0.9,"High Volume HMA (OGFC 25mm rebonded on 275mm DGHMA)","A5","Mesa",10.9260615979618,"Summer","surface",0.025,1.16,2400,964,0.175,0.9,0,0.3,2.26,4750,1904,"base",0.275,1.1,2350,940,NA,NA,0,"subgrade",1.2,1,1500,1900,NA,NA,0,33.4987731178464,33.568717935464,33.8725751145447,33.4054494956573,35.578443049677,38.8069822205836,2018-06-22 22:36:37,2018-06-22 22:36:30,7.16900014877319,45.3146610535002,38.75,6.56466105350017,0.169410607832263,36.503,"Night","Summer Night"
18,10,1,33.5,33.5,30,100,1,3,2018-06-22,3,23.46,3.24066393291734,0,NA,3,1.5,"High Volume Asphalt Pavements","HVA",0.25,0.85,"High Volume HMA (OGFC 50mm rebonded on 250mm DGHMA)","A9","Mesa",10.9260615979618,"Summer","surface",0.05,1.2,2500,964,0.25,0.85,0,0.3,2.28,4900,1924,"base",0.25,1.08,2400,960,NA,NA,0,"subgrade",1.2,1,1500,1900,NA,NA,0,33.4988423438034,33.562854208996,33.8442892249955,33.4121415895797,35.4353507093551,38.4886841435502,2018-06-22 22:36:37,2018-06-22 22:36:30,7.16900014877319,46.4064327339641,36.4500007629395,9.95643197102464,0.273153134777101,36.503,"Night","Summer Night"
19,10,1,33.5,33.5,30,100,1,1,2007-06-26,3,23.84,3.54213718863645,0,NA,1,1.5,"High Volume Asphalt Pavements","HVA",0.15,0.87,"High Volume HMA (OGFC 35mm rebonded on 265mm DGHMA)","A3","Mesa",10.9260615979618,"Summer","surface",0.035,0.96,2350,945,0.15,0.87,0,0.3,1.88,4650,1845,"base",0.265,0.92,2300,900,NA,NA,0,"subgrade",1.2,1.1,1500,1900,NA,NA,0,33.4981612661509,33.5724581670281,33.8895631939341,33.3936355273668,35.3772803865252,38.3026399891822,2007-06-26 11:21:24,2007-06-26 11:21:30,5.04299998283386,75.3352580550198,57.75,17.5852580550198,0.304506632987355,37.1658333333334,"Day","Summer Day"
20,10,1,33.5,33.5,30,100,1,2,2007-06-26,3,23.07,3.14354904482558,0,NA,2,1.5,"High Volume Asphalt Pavements","HVA",0.175,0.9,"High Volume HMA (OGFC 25mm rebonded on 275mm DGHMA)","A5","Mesa",10.9260615979618,"Summer","surface",0.025,1.16,2400,964,0.175,0.9,0,0.3,2.26,4750,1904,"base",0.275,1.1,2350,940,NA,NA,0,"subgrade",1.2,1,1500,1900,NA,NA,0,33.4985288756919,33.5617021106859,33.8389058004315,33.3952193202892,35.3852429900936,38.212134418742,2007-06-26 11:21:24,2007-06-26 11:21:30,5.04299998283386,69.5172110913347,41.25,28.2672110913347,0.685265723426296,38.1375,"Day","Summer Day"
21,10,1,33.5,33.5,30,100,1,3,2007-06-26,3,23.19,2.98630103887801,0,NA,3,1.5,"High Volume Asphalt Pavements","HVA",0.25,0.85,"High Volume HMA (OGFC 50mm rebonded on 250mm DGHMA)","A9","Mesa",10.9260615979618,"Summer","surface",0.05,1.2,2500,964,0.25,0.85,0,0.3,2.28,4900,1924,"base",0.25,1.08,2400,960,NA,NA,0,"subgrade",1.2,1,1500,1900,NA,NA,0,33.4987298851109,33.5569188812102,33.8160468386661,33.4094012866987,35.2862245236202,38.0979431157459,2007-06-26 11:21:24,2007-06-26 11:21:30,5.04299998283386,65.2304532170081,38.4500007629395,26.7804524540686,0.696500700199759,39.5733333333333,"Day","Summer Day"
22,10,1,33.5,33.5,30,100,1,1,2016-07-13,3,22.92,3.35506772298852,0,NA,1,1.5,"High Volume Asphalt Pavements","HVA",0.15,0.87,"High Volume HMA (OGFC 35mm rebonded on 265mm DGHMA)","A3","Mesa",10.9260615979618,"Summer","surface",0.035,0.96,2350,945,0.15,0.87,0,0.3,1.88,4650,1845,"base",0.265,0.92,2300,900,NA,NA,0,"subgrade",1.2,1.1,1500,1900,NA,NA,0,33.4990486101556,33.5745414549129,33.8873884655147,33.4308930120751,35.3555728327857,38.2073972006648,2016-07-13 11:16:15,2016-07-13 11:16:30,14.5640001296997,76.0895990725453,63.1500015258789,12.9395975466664,0.204902569026285,38.2016666666667,"Day","Summer Day"
23,10,1,33.5,33.5,30,100,1,2,2016-07-13,3,22.64,3.38830210593274,0,NA,2,1.5,"High Volume Asphalt Pavements","HVA",0.175,0.9,"High Volume HMA (OGFC 25mm rebonded on 275mm DGHMA)","A5","Mesa",10.9260615979618,"Summer","surface",0.025,1.16,2400,964,0.175,0.9,0,0.3,2.26,4750,1904,"base",0.275,1.1,2350,940,NA,NA,0,"subgrade",1.2,1,1500,1900,NA,NA,0,33.4992116061455,33.5702903035513,33.8753429068882,33.4291982971925,35.5866208080481,38.7955488509491,2016-07-13 11:16:15,2016-07-13 11:16:30,14.5640001296997,75.3319644386313,59.6500015258789,15.6819629127524,0.262899622994123,38.35,"Day","Summer Day"
24,10,1,33.5,33.5,30,100,1,3,2016-07-13,3,23.65,3.17519981516303,0,NA,3,1.5,"High Volume Asphalt Pavements","HVA",0.25,0.85,"High Volume HMA (OGFC 50mm rebonded on 250mm DGHMA)","A9","Mesa",10.9260615979618,"Summer","surface",0.05,1.2,2500,964,0.25,0.85,0,0.3,2.28,4900,1924,"base",0.25,1.08,2400,960,NA,NA,0,"subgrade",1.2,1,1500,1900,NA,NA,0,33.4992448611884,33.564374390194,33.847215626744,33.4336563413721,35.4446505529139,38.4826692840772,2016-07-13 11:16:15,2016-07-13 11:16:30,14.5640001296997,69.9628053926813,53.4500007629395,16.5128046297419,0.30893927771824,38.35,"Day","Summer Day"
25,10,1,33.5,33.5,30,100,1,1,2015-07-27,3,23.87,3.09710429060621,0,NA,1,1.5,"High Volume Asphalt Pavements","HVA",0.15,0.87,"High Volume HMA (OGFC 35mm rebonded on 265mm DGHMA)","A3","Mesa",10.9260615979618,"Summer","surface",0.035,0.96,2350,945,0.15,0.87,0,0.3,1.88,4650,1845,"base",0.265,0.92,2300,900,NA,NA,0,"subgrade",1.2,1.1,1500,1900,NA,NA,0,33.4985213007092,33.5640307053144,33.8338391177197,33.4098888275783,35.0852197915871,37.5182347863673,2015-07-27 11:16:32,2015-07-27 11:16:30,2.98600006103516,74.8488283256316,51.75,23.0988283256316,0.446354170543606,34.6181818181818,"Day","Summer Day"
26,10,1,33.5,33.5,30,100,1,2,2015-07-27,3,27.12,2.78278682136869,0,NA,2,1.5,"High Volume Asphalt Pavements","HVA",0.175,0.9,"High Volume HMA (OGFC 25mm rebonded on 275mm DGHMA)","A5","Mesa",10.9260615979618,"Summer","surface",0.025,1.16,2400,964,0.175,0.9,0,0.3,2.26,4750,1904,"base",0.275,1.1,2350,940,NA,NA,0,"subgrade",1.2,1,1500,1900,NA,NA,0,33.4990559484613,33.5578539555415,33.8083886567192,33.4222746092939,35.1912508407595,37.7469492261808,2015-07-27 11:16:32,2015-07-27 11:16:30,2.98600006103516,70.4326028609204,51.25,19.1826028609204,0.374294689969179,36.592,"Day","Summer Day"
27,10,1,33.5,33.5,30,100,1,3,2015-07-27,3,25.14,2.5852501775823,0,NA,3,1.5,"High Volume Asphalt Pavements","HVA",0.25,0.85,"High Volume HMA (OGFC 50mm rebonded on 250mm DGHMA)","A9","Mesa",10.9260615979618,"Summer","surface",0.05,1.2,2500,964,0.25,0.85,0,0.3,2.28,4900,1924,"base",0.25,1.08,2400,960,NA,NA,0,"subgrade",1.2,1,1500,1900,NA,NA,0,33.4990766471639,33.5527116485174,33.7840947494983,33.4263272345701,35.069461470983,37.4757687567118,2015-07-27 11:16:32,2015-07-27 11:16:30,2.98600006103516,65.3795950684284,63.6500015258789,1.72959354254954,0.0271735035520198,36.592,"Day","Summer Day"
