"station.name","RMSE","MAPE"
"EW0706 Phoenix",8.89388476423077,0.204945573988803
"GateWay Community College",12.5339468523389,0.396623902203045
"South Mountain Park",12.9098780888772,0.276900584909125
"Durango Complex",13.1527875560657,0.467759972356252
"SRP",13.8265534438121,0.236159834342514
"Kay",15.6432150864657,0.82028564941665
"Phoenix, Phoenix Sky Harbor International Airport",15.887004932624,0.754766273198572
"wx7wx Glendale",16.0963835156864,0.342473988840977
"Phoenix Encanto",16.3744513485019,0.321596272673864
"Sheely",16.4015737082619,0.699860031806633
"ACDC @ 67th Ave.",19.2172134917328,0.53483714626869
"City of Glendale",20.3624987640586,0.671954537888079
"Luke Air Force Base / Phoenix",NA,NA
