"run.n","nodal.spacing","i.top.temp","i.bot.temp","time.step","SVF","layer.profile","end.day","n.days","run.time","RMSE","CFL_fail","broke.t","ref","depth","batch.name","batch.id","albedo","emissivity","pave.name","valid.site","station.name","station.dist.km","pave.length","season","L1.layer","L1.thickness","L1.k","L1.rho","L1.c","L1.albedo","L1.emissivity","L1.R.c.top","pave.thick","mean.k","mean.c","mean.rho","L2.layer","L2.thickness","L2.k","L2.rho","L2.c","L2.albedo","L2.emissivity","L2.R.c.top","L3.layer","L3.thickness","L3.k","L3.rho","L3.c","L3.albedo","L3.emissivity","L3.R.c.top","min.T_0.5m","avg.T_0.5m","max.T_0.5m","min.T_1.0m","avg.T_1.0m","max.T_1.0m","date.time.obs","date.time.mod","dif.sec","Modeled","Observed","error","p.err","air.temp.c","daytime","day.sea"
1,10,33.5,33.5,30,1,1,2012-02-09,7,154.34,0,0,NA,1,1.5,"Asphalt Pavements","A",0.15,0.85,"Asphalt #3","A6","City of Glendale",6.32151946212,320,"Winter","surface",0.1,2.2,2500,1400,0.15,0.85,0,0.25,5.2,4800,2350,"base",0.15,3,2300,950,NA,NA,0,"subgrade",1.25,1.8,2000,1900,NA,NA,0,33.4857552294206,34.0910371978691,35.3055233703325,33.1152629453345,36.2675522912127,39.2271362360564,2012-02-09 11:15:01,2012-02-09 11:15:00,1.10899996757507,53.7981164657102,27.3500003814697,26.4481160842404,0.967024340597804,21.11,"Day","Winter Day"
2,10,33.5,33.5,30,0.1,1,2012-02-09,7,161.54,2.59498722990585,0,NA,1,1.5,"Asphalt Pavements","A",0.15,0.85,"Asphalt #3","A6","City of Glendale",6.32151946212,320,"Winter","surface",0.1,2.2,2500,1400,0.15,0.85,0,0.25,5.2,4800,2350,"base",0.15,3,2300,950,NA,NA,0,"subgrade",1.25,1.8,2000,1900,NA,NA,0,33.4977326779742,33.5993811063557,33.837484451065,33.4453244612879,34.0095879420373,34.6901590174899,2012-02-09 11:15:01,2012-02-09 11:15:00,1.10899996757507,36.8761561643583,27.3500003814697,9.52615578288862,0.348305508227445,21.11,"Day","Winter Day"
3,10,33.5,33.5,30,1,2,2012-02-09,7,162.36,0,0,NA,3,1.5,"Asphalt Pavements","A",0.2,0.9,"Asphalt #4","A6","City of Glendale",6.32151946212,320,"Winter","surface",0.15,1.7,2350,950,0.2,0.9,0,0.35,3.95,4700,1825,"base",0.2,2.25,2350,875,NA,NA,0,"subgrade",1.15,1.4,1850,1500,NA,NA,0,33.4703089736986,33.9973542288422,35.0123762828752,32.8288881973256,35.7078910119038,38.4144665347887,2012-02-09 11:15:01,2012-02-09 11:15:00,1.10899996757507,55.033579432885,27.3500003814697,27.6835790514153,1.01219666052259,21.11,"Day","Winter Day"
4,10,33.5,33.5,30,0.1,2,2012-02-09,7,160.75,2.90630596122983,0,NA,3,1.5,"Asphalt Pavements","A",0.2,0.9,"Asphalt #4","A6","City of Glendale",6.32151946212,320,"Winter","surface",0.15,1.7,2350,950,0.2,0.9,0,0.35,3.95,4700,1825,"base",0.2,2.25,2350,875,NA,NA,0,"subgrade",1.15,1.4,1850,1500,NA,NA,0,33.495083034054,33.6010962058997,33.8452836304739,33.3995331093853,33.9946276787427,34.7058141977776,2012-02-09 11:15:01,2012-02-09 11:15:00,1.10899996757507,37.0668323549488,27.3500003814697,9.71683197347903,0.355277215281592,21.11,"Day","Winter Day"
5,10,33.5,33.5,30,1,3,2012-02-09,7,162.35,0,0,NA,5,1.5,"Asphalt Pavements","A",0.25,0.95,"Asphalt #5","A6","City of Glendale",6.32151946212,320,"Winter","surface",0.2,1.2,2200,850,0.25,0.95,0,0.5,2.7,4600,1650,"base",0.3,1.5,2400,800,NA,NA,0,"subgrade",1,1,1500,1100,NA,NA,0,33.4429692997092,33.799237821658,34.5095397005202,32.6086663191002,34.7486854452346,36.8996035356701,2012-02-09 11:15:01,2012-02-09 11:15:00,1.10899996757507,54.8126031901299,27.3500003814697,27.4626028086602,1.00411709051627,21.11,"Day","Winter Day"
6,10,33.5,33.5,30,0.1,3,2012-02-09,7,161.17,3.01898500778929,0,NA,5,1.5,"Asphalt Pavements","A",0.25,0.95,"Asphalt #5","A6","City of Glendale",6.32151946212,320,"Winter","surface",0.2,1.2,2200,850,0.25,0.95,0,0.5,2.7,4600,1650,"base",0.3,1.5,2400,800,NA,NA,0,"subgrade",1,1,1500,1100,NA,NA,0,33.490200592874,33.5805065386143,33.7985904627531,33.3594288276024,33.8636868117208,34.5025681616248,2012-02-09 11:15:01,2012-02-09 11:15:00,1.10899996757507,36.8640836803538,27.3500003814697,9.51408329888409,0.3478641011402,21.11,"Day","Winter Day"
7,10,33.5,33.5,30,1,1,2014-02-19,7,160.28,1.58474266519202,0,NA,1,1.5,"Asphalt Pavements","A",0.15,0.85,"Asphalt #3","A6","Sheely",6.28538886184103,320,"Winter","surface",0.1,2.2,2500,1400,0.15,0.85,0,0.25,5.2,4800,2350,"base",0.15,3,2300,950,NA,NA,0,"subgrade",1.25,1.8,2000,1900,NA,NA,0,33.4875650315034,34.3554288773669,36.0625228124769,33.1402388439323,37.427709376317,41.1324870260447,2014-02-19 22:35:14,2014-02-19 22:35:00,14.8699998855591,42.4747814424022,18.4500007629395,24.0247806794628,1.30215608054182,19.07,"Night","Winter Night"
8,10,33.5,33.5,30,0.1,1,2014-02-19,7,160.37,3.14721815842708,0,NA,1,1.5,"Asphalt Pavements","A",0.15,0.85,"Asphalt #3","A6","Sheely",6.28538886184103,320,"Winter","surface",0.1,2.2,2500,1400,0.15,0.85,0,0.25,5.2,4800,2350,"base",0.15,3,2300,950,NA,NA,0,"subgrade",1.25,1.8,2000,1900,NA,NA,0,33.4980479598239,33.6313215663548,33.933452646742,33.4490140907066,34.155204366632,34.9480315709681,2014-02-19 22:35:14,2014-02-19 22:35:00,14.8699998855591,36.1664427755085,18.4500007629395,17.7164420125691,0.960240719781222,19.07,"Night","Winter Night"
9,10,33.5,33.5,30,1,2,2014-02-19,7,158.92,1.07055663331191,0,NA,3,1.5,"Asphalt Pavements","A",0.2,0.9,"Asphalt #4","A6","Sheely",6.28538886184103,320,"Winter","surface",0.15,1.7,2350,950,0.2,0.9,0,0.35,3.95,4700,1825,"base",0.2,2.25,2350,875,NA,NA,0,"subgrade",1.15,1.4,1850,1500,NA,NA,0,33.4754494020909,34.3507351108838,35.9584114189004,32.8904048093402,37.1165799856533,40.5462359713109,2014-02-19 22:35:14,2014-02-19 22:35:00,14.8699998855591,37.5158961949191,18.4500007629395,19.0658954319796,1.03338182349983,19.07,"Night","Winter Night"
10,10,33.5,33.5,30,0.1,2,2014-02-19,7,157.18,3.04346051391782,0,NA,3,1.5,"Asphalt Pavements","A",0.2,0.9,"Asphalt #4","A6","Sheely",6.28538886184103,320,"Winter","surface",0.15,1.7,2350,950,0.2,0.9,0,0.35,3.95,4700,1825,"base",0.2,2.25,2350,875,NA,NA,0,"subgrade",1.15,1.4,1850,1500,NA,NA,0,33.4957845809959,33.650015378397,33.9857053911368,33.4061525788844,34.2000867858747,35.0492732308491,2014-02-19 22:35:14,2014-02-19 22:35:00,14.8699998855591,35.8489905173599,18.4500007629395,17.3989897544204,0.943034636040222,19.07,"Night","Winter Night"
