"layer.profile","batch.name","RMSE","MAPE"
3,"Bare Ground / Desert Soil",12.2254567554072,0.510524375032837
3,"Whitetopped Asphalt Pavements",12.24683672145,0.416575944114146
3,"Concrete Pavements",12.4399037045474,0.379470717171977
2,"Bare Ground / Desert Soil",13.5896519856269,0.579770274210106
2,"Whitetopped Asphalt Pavements",13.9126392382895,0.481626506449743
2,"Concrete Pavements",14.0433297605231,0.439464106584909
1,"Bare Ground / Desert Soil",14.8279400199039,0.633529901678379
1,"Whitetopped Asphalt Pavements",15.4813651715928,0.535141834229761
1,"Concrete Pavements",15.565345994129,0.489147768079856
3,"Asphalt Overlays on PCC Pavements",16.0394973414543,0.478969005531171
3,"Asphalt Pavements",16.0472644701418,0.476951066685878
2,"Asphalt Pavements",17.2209999858203,0.525241718360578
2,"Asphalt Overlays on PCC Pavements",17.361221942651,0.532303165358082
1,"Asphalt Pavements",18.2857373510626,0.568678442699565
1,"Asphalt Overlays on PCC Pavements",18.4927553584843,0.576516641824791
